ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	16/544	91/11271	6.25812994824847e-06	0.00169402763752972	0.00162458013069511	IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/GLRA1/DHRS3/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYBB2	16
GO:0050953	sensory perception of light stimulus	16/544	92/11271	7.24393616503932e-06	0.00182081509748381	0.00174616987557264	IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/GLRA1/DHRS3/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYBB2	16
GO:0098656	anion transmembrane transport	21/544	152/11271	1.25627722266977e-05	0.00294722636438329	0.00282640335149424	SLC6A13/LRP2/SLC26A4/SLC26A3/SLC5A5/RGS4/SLC25A2/SLC35D2/SLC37A2/GLRA1/SLC26A7/SLC25A31/SLC9C2/SLC13A4/PTAFR/KCNJ10/SLC17A8/SLC25A18/SLC24A5/SLC12A8/SLC35D2	21
GO:0046942	carboxylic acid transport	20/544	141/11271	1.35677342234581e-05	0.00298405354577181	0.00286172078423728	SLC6A13/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/PLA2G12B/SLC26A7/SLC16A14/SLC16A9/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC10A5/SLC35D2	20
GO:0006954	inflammatory response	35/544	342/11271	2.0797480432865e-05	0.00430507844960305	0.00412858961410311	STAP1/PTGER3/IFI35/CXCL2/NLRC4/PTGS1/GGT1/NFKBIA/IL17F/HYAL1/SERPINC1/TNFAIP3/TEK/THEMIS2/SYT11/HRH4/NT5E/MYLK3/MEP1B/GPR32/ECM1/DUSP10/IL34/IL23R/CD200R1/PTX3/IL17RE/CXCL3/PTAFR/PTGER4/CSF1/LRRC19/CXCL17/LTA/GGT1	35
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	16/544	102/11271	2.78605641368602e-05	0.00544674028875617	0.00522344845747216	CELSR3/CEACAM1/TGFB2/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/CEACAM8/CLDN14/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16	16
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	6/544	15/11271	4.23611194089566e-05	0.00784572522105886	0.00752408580748559	PCDHB10/PCDHB14/DCHS1/PCDHB13/PCDHB11/PCDHB16	6
GO:0015711	organic anion transport	23/544	192/11271	5.10854254281882e-05	0.00898848060408971	0.00861999336435639	SLC6A13/SLC2A3/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/PLA2G12B/MTTP/SLC26A7/SLC25A31/SLC16A14/SLC16A9/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC10A5/SLC35D2	23
GO:0030239	myofibril assembly	9/544	39/11271	7.68208398053319e-05	0.0128729778702363	0.01234524373012	MYH3/PROX1/MYLK3/CASQ1/ACTA1/MYOZ2/MYOZ1/NEB/KLHL41	9
GO:0050778	positive regulation of immune response	28/544	266/11271	8.52392959364374e-05	0.0136344128363783	0.0130754632905368	CD74/BTN3A1/STAP1/IFI35/CEACAM1/NLRC4/TGFB2/LPXN/HPX/IL17F/PDE4D/HHLA2/COLEC11/THEMIS2/VTCN1/GPR32/CD226/IL23R/ERMAP/C2/PTAFR/GPR151/C1S/PLA2G6/FYB2/KLRK1/LTA/RAET1E	28
GO:0055002	striated muscle cell development	9/544	40/11271	9.49391167732441e-05	0.0145256848663064	0.0139301971796348	MYH3/PROX1/MYLK3/CASQ1/ACTA1/MYOZ2/MYOZ1/NEB/KLHL41	9
GO:0002684	positive regulation of immune system process	38/544	420/11271	0.000137167697767658	0.0201122136851829	0.0192877034668032	CD74/BTN3A1/STAP1/IFI35/CEACAM1/NLRC4/TGFB2/LPXN/HPX/IL17F/PDE4D/HES1/HHLA2/COLEC11/SOX4/THEMIS2/VTCN1/GPR32/DUSP10/CD226/JAM2/IL34/IL23R/ERMAP/C2/PTAFR/GPR151/JUN/HCLS1/C1S/CSF1/PLA2G6/FYB2/CXCL17/HLA-DMA/KLRK1/LTA/RAET1E	38
GO:0007129	homologous chromosome pairing at meiosis	8/544	34/11271	0.000166665188949619	0.0228747789542407	0.0219370159965587	MSH4/MLH3/HORMAD1/ANKRD31/MAJIN/C14orf39/MEIOC/RAD21L1	8
GO:0045214	sarcomere organization	7/544	26/11271	0.000172985389565003	0.0228747789542407	0.0219370159965587	MYH3/PROX1/MYLK3/CASQ1/MYOZ2/MYOZ1/KLHL41	7
GO:0006959	humoral immune response	12/544	73/11271	0.000175509812948138	0.0228747789542407	0.0219370159965587	CXCL2/HPX/IL17F/COLEC11/IFNA5/CXCL3/C2/WFDC12/C1S/PLA2G6/LTA/H2BC6	12
GO:0015718	monocarboxylic acid transport	9/544	44/11271	0.000207182583269531	0.0260384110901957	0.0249709534572225	SLC6A13/CEACAM1/SLC16A6/SLC6A12/PLA2G12B/SLC16A14/SLC16A9/PLA2G6/SLC10A5	9
GO:0098661	inorganic anion transmembrane transport	9/544	46/11271	0.000295432839118423	0.0358492469261286	0.0343795891910586	SLC26A4/SLC26A3/SLC5A5/SLC37A2/GLRA1/SLC26A7/SLC13A4/PTAFR/SLC12A8	9
GO:0001539	cilium or flagellum-dependent cell motility	11/544	67/11271	0.000328345380896262	0.0366100408278482	0.0351091939678082	DNAH11/RSPH4A/ATP1A4/DRC1/DNAI3/SLC9B1/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206	11
GO:0060285	cilium-dependent cell motility	11/544	67/11271	0.000328345380896262	0.0366100408278482	0.0351091939678082	DNAH11/RSPH4A/ATP1A4/DRC1/DNAI3/SLC9B1/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206	11
GO:0007338	single fertilization	12/544	78/11271	0.000332913130574351	0.0366100408278482	0.0351091939678082	AKAP3/PLCD4/PKDREJ/ADAM20/ADAM21/GLRA1/SLC9B1/PRSS37/GLIPR1L1/GLIPR1L2/TMPRSS12/WEE2	12
GO:0007218	neuropeptide signaling pathway	7/544	29/11271	0.000361824084860101	0.0385836046855362	0.0370018505920728	PRLHR/HCRTR1/GPR83/PYY/GLRA1/TAC3/NPY6R	7
GO:0009581	detection of external stimulus	10/544	58/11271	0.000405760381850727	0.0407963081066489	0.0391238431342386	TRPM3/PDE6C/PDC/PHF24/OPN1SW/PKDREJ/PKD1L1/RRH/PJVK/PKD1L3	10
GO:0060294	cilium movement involved in cell motility	10/544	58/11271	0.000405760381850727	0.0407963081066489	0.0391238431342386	DNAH11/RSPH4A/ATP1A4/DNAI3/SLC9B1/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206	10
GO:0009582	detection of abiotic stimulus	10/544	59/11271	0.000467871152244965	0.0454277174134702	0.0435653855095154	TRPM3/PDE6C/PDC/PHF24/OPN1SW/PKDREJ/PKD1L1/RRH/PJVK/PKD1L3	10
GO:0098609	cell-cell adhesion	38/544	447/11271	0.000477642950923102	0.0454277174134702	0.0435653855095154	CELSR3/CD74/NRXN3/ITGA8/CEACAM1/TGFB2/GCNT2/PCDHB15/HES1/HHLA2/PCDHB10/PCDHB14/PCDHB12/MYOT/CEACAM8/SOX4/DLG4/VTCN1/NT5E/DUSP10/JAM2/PKD1L1/CLDN14/IL23R/CD200R1/DCHS1/TNXB/PTAFR/FUT3/COL8A2/CDK5R1/CNTN2/ROBO2/PCDHB13/PCDHB11/HLA-DMA/KLRK1/PCDHB16	38
