ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006820	anion transport	45/964	269/11271	8.88627990702535e-06	0.0026493808808517	0.00258704329323324	SLC6A13/ABCC2/SLC2A3/CEACAM1/SLC4A4/LRP2/SLC26A4/SLC26A3/SLC10A1/GLRA2/SLC5A5/SLC16A6/SLC6A12/RGS4/ARG1/SLC25A2/WNK4/SLC35D2/SLC37A2/SLC9A5/PLA2G12B/MTTP/TTYH2/TNFRSF11A/BEST4/GLRA1/SLC26A7/SLC25A31/CLIC2/SLC13A3/SLC9C2/SLC16A14/SLC13A4/SLC16A9/PTAFR/SLC23A1/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC24A5/SLCO6A1/SLC12A8/SLC10A5/SLC35D2	45
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	16/964	58/11271	1.85636358558689e-05	0.00471421661925781	0.00460329527394302	CELSR3/CDH1/CEACAM1/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/CDH12/NEXN/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16	16
GO:0060294	cilium movement involved in cell motility	16/964	58/11271	1.85636358558689e-05	0.00471421661925781	0.00460329527394302	TEKT2/DNAH11/RSPH4A/IQCG/ARMC2/ATP1A4/CFAP251/DNAI3/SLC9B1/TTC21A/CATSPERD/CFAP54/FSIP2/CFAP43/MEIG1/CFAP206	16
GO:0001578	microtubule bundle formation	18/964	71/11271	2.02679886846341e-05	0.00471421661925781	0.00460329527394302	TEKT2/RSPH4A/IQCG/ARMC2/DNAH7/LRRC49/DNAI4/LRGUK/SPAG17/DRC1/DNAI3/DNAJB13/DNAH17/FSIP2/CFAP43/MEIG1/ODAD4/CFAP206	18
GO:0007601	visual perception	21/964	91/11271	2.03296356364736e-05	0.00471421661925781	0.00460329527394302	SPATA7/IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/RGS16/GLRA1/DHRS3/CACNB2/FAM161A/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYGS/CRYBB2	21
GO:0050953	sensory perception of light stimulus	21/964	92/11271	2.42574744732926e-05	0.00532898412902755	0.00520359784823209	SPATA7/IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/RGS16/GLRA1/DHRS3/CACNB2/FAM161A/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYGS/CRYBB2	21
GO:0048640	negative regulation of developmental growth	18/964	80/11271	0.000110876729983158	0.0207164491121121	0.0202290093970438	CDKL3/SEMA3B/SEMA3A/ULK2/ARHGAP4/TLL2/WNT3/RGS4/SEMA6D/DUSP10/MEIS1/PLAC8/SEMA3D/SEMA3E/CDK5R1/MYOZ1/NOG/PTCH1	18
GO:0030198	extracellular matrix organization	27/964	147/11271	0.000111346324753688	0.0207164491121121	0.0202290093970438	ADAMTS6/NFKB2/CPB2/COL4A4/CCDC80/TGFB2/TLL2/PAPLN/ECM2/SPOCK2/KAZALD1/LOX/P4HA1/FBLN5/COL8A1/MMP21/ADAMTS3/OLFML2B/PTX3/TNXB/COL8A2/ADAMTS20/NDNF/OTOL1/COL11A2/COL6A6/SCX	27
GO:0045229	external encapsulating structure organization	27/964	147/11271	0.000111346324753688	0.0207164491121121	0.0202290093970438	ADAMTS6/NFKB2/CPB2/COL4A4/CCDC80/TGFB2/TLL2/PAPLN/ECM2/SPOCK2/KAZALD1/LOX/P4HA1/FBLN5/COL8A1/MMP21/ADAMTS3/OLFML2B/PTX3/TNXB/COL8A2/ADAMTS20/NDNF/OTOL1/COL11A2/COL6A6/SCX	27
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	7/964	15/11271	0.000114153888255529	0.0207164491121121	0.0202290093970438	PCDHB10/PCDHB14/CDH12/DCHS1/PCDHB13/PCDHB11/PCDHB16	7
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	21/964	102/11271	0.000120729142040796	0.0209297480952769	0.0204372896438887	CELSR3/CDH1/CEACAM1/TGFB2/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/CEACAM8/FLRT3/CDH12/CLDN14/NEXN/CLDN2/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16	21
GO:0043062	extracellular structure organization	27/964	148/11271	0.000125357858740278	0.0209297480952769	0.0204372896438887	ADAMTS6/NFKB2/CPB2/COL4A4/CCDC80/TGFB2/TLL2/PAPLN/ECM2/SPOCK2/KAZALD1/LOX/P4HA1/FBLN5/COL8A1/MMP21/ADAMTS3/OLFML2B/PTX3/TNXB/COL8A2/ADAMTS20/NDNF/OTOL1/COL11A2/COL6A6/SCX	27
GO:0046942	carboxylic acid transport	26/964	141/11271	0.000138643155357659	0.0222575588639566	0.0217338582001966	SLC6A13/ABCC2/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC10A1/SLC16A6/SLC6A12/RGS4/ARG1/SLC25A2/SLC35D2/PLA2G12B/TNFRSF11A/SLC26A7/SLC13A3/SLC16A14/SLC16A9/SLC23A1/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC10A5/SLC35D2	26
GO:0001910	regulation of leukocyte mediated cytotoxicity	11/964	37/11271	0.000180834281644327	0.0279556404290155	0.0272978689484145	STAP1/CEACAM1/CD160/ARG1/KLRC1/CD226/IL23R/RASGRP1/AGER/KLRK1/RAET1E	11
GO:0098656	anion transmembrane transport	27/964	152/11271	0.000198478941265139	0.0289719983189952	0.0282903128366452	SLC6A13/SLC4A4/LRP2/SLC26A4/SLC26A3/GLRA2/SLC5A5/RGS4/SLC25A2/SLC35D2/SLC37A2/SLC9A5/GLRA1/SLC26A7/SLC25A31/CLIC2/SLC13A3/SLC9C2/SLC13A4/PTAFR/SLC23A1/KCNJ10/SLC17A8/SLC25A18/SLC24A5/SLC12A8/SLC35D2	27
GO:0070286	axonemal dynein complex assembly	8/964	21/11271	0.000205938604207203	0.0289719983189952	0.0282903128366452	TEKT2/DNAH7/LRRC49/DNAI4/DRC1/DNAI3/DNAH17/ODAD4	8
GO:0030317	flagellated sperm motility	13/964	50/11271	0.000215172963078306	0.0289719983189952	0.0282903128366452	TEKT2/DNAH11/IQCG/ARMC2/ATP1A4/CFAP251/SLC9B1/TTC21A/CATSPERD/FSIP2/CFAP43/MEIG1/CFAP206	13
GO:0097722	sperm motility	13/964	50/11271	0.000215172963078306	0.0289719983189952	0.0282903128366452	TEKT2/DNAH11/IQCG/ARMC2/ATP1A4/CFAP251/SLC9B1/TTC21A/CATSPERD/FSIP2/CFAP43/MEIG1/CFAP206	13
GO:0015718	monocarboxylic acid transport	12/964	44/11271	0.000229913682037754	0.0299893659007995	0.0292837426595455	SLC6A13/ABCC2/CEACAM1/SLC10A1/SLC16A6/SLC6A12/PLA2G12B/TNFRSF11A/SLC16A14/SLC16A9/PLA2G6/SLC10A5	12
GO:0032729	positive regulation of interferon-gamma production	10/964	33/11271	0.000298291193184546	0.037729316374312	0.0368415789477053	BTN3A1/IL12RB2/PDE4D/CD160/TNFSF4/IRF8/CD226/IL23R/RASGRP1/LTA	10
GO:0007018	microtubule-based movement	40/964	268/11271	0.000352034457231053	0.0430767888305913	0.0420632301092098	TEKT2/CLIP3/DNAH11/RSPH4A/NME5/IQCG/DNAH6/ARMC2/DNAH7/ATP1A4/AGTPBP1/LCA5/ADCY10/DNAI4/SPAG17/CFAP70/DRC1/CFAP251/DNAI3/SLC9B1/TTC21A/ZBBX/CFAP53/RASGRP1/DNAH12/CATSPERD/DNHD1/DYNLT2/DNAH17/CFAP54/FSIP2/TTC30B/DNAH10/CFAP43/MEIG1/ODAD4/DYNLT2B/KIF4B/CFAP206/NEFL	40
GO:0006959	humoral immune response	16/964	73/11271	0.000361209297812816	0.0430767888305913	0.0420632301092098	ST6GAL1/CXCL2/HPX/IL17F/COLEC11/IFNA5/CXCL3/LEAP2/C2/WFDC12/WFDC5/C1S/PLA2G6/LTA/CFB/H2BC6	16
GO:0015711	organic anion transport	31/964	192/11271	0.000408735981231796	0.0473906662683755	0.0462756058283484	SLC6A13/ABCC2/SLC2A3/CEACAM1/SLC4A4/LRP2/SLC26A4/SLC26A3/SLC10A1/SLC16A6/SLC6A12/RGS4/ARG1/SLC25A2/SLC35D2/PLA2G12B/MTTP/TNFRSF11A/SLC26A7/SLC25A31/SLC13A3/SLC16A14/SLC16A9/SLC23A1/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLCO6A1/SLC10A5/SLC35D2	31
