Geneid	mock1	mock2	cov1	cov2
SSU72	1481	1483	1105	1190
C1orf233	124	103	97	84
MIB2	278	266	111	113
MMP23B	1	0	0	0
MMP23A	0	0	0	0
CDK11B	394	368	237	259
SLC35E2B	1030	882	377	387
CDK11A	142	144	108	117
SLC35E2	321	355	115	144
NADK	1042	968	438	499
GNB1	5992	6148	3263	3592
CALML6	11	10	0	2
TMEM52	26	21	12	20
CFAP74	15	8	5	7
GABRD	18	22	8	4
PRKCZ	299	305	165	173
FAAP20	214	224	146	131
SKI	1053	987	838	1015
MORN1	190	172	78	96
LOC100129534	24	33	16	14
RER1	1528	1611	818	868
PEX10	139	129	88	81
PLCH2	8	5	5	4
PANK4	427	483	290	324
HES5	9	12	3	2
LOC115110	1	0	4	0
TNFRSF14	1	2	1	5
LOC100996583	10	10	8	4
FAM213B	151	152	103	119
MMEL1	6	6	1	4
TTC34	2	10	2	1
ACTRT2	0	0	0	0
LINC00982	24	27	19	12
PRDM16	402	333	185	236
MIR4251	0	1	0	0
ARHGEF16	69	59	25	48
MEGF6	90	65	39	38
MIR551A	0	0	1	0
TPRG1L	215	210	162	176
WRAP73	413	339	225	249
TP73	197	193	150	137
TP73-AS1	813	775	413	506
CCDC27	4	10	4	4
SMIM1	21	35	5	6
LRRC47	756	762	555	627
CEP104	952	909	585	607
DFFB	182	229	158	169
C1orf174	352	387	264	278
LINC01134	9	7	7	2
LINC01346	0	0	0	0
LOC284661	0	0	0	0
AJAP1	0	0	0	0
MIR4417	0	0	0	0
MIR4689	1	0	0	0
NPHP4	373	369	205	182
KCNAB2	150	149	75	94
CHD5	22	29	20	28
RPL22	5008	5897	1703	1898
LOC102724450	17	12	4	2
RNF207	154	97	63	80
ICMT	4169	4234	2610	2989
LINC00337	64	60	21	24
HES3	0	1	0	0
GPR153	181	157	84	75
ACOT7	499	519	440	400
HES2	22	30	7	12
ESPN	7	3	2	0
MIR4252	0	0	0	0
TNFRSF25	23	28	13	20
PLEKHG5	181	144	84	92
NOL9	1480	1486	1421	1564
TAS1R1	7	6	3	9
ZBTB48	253	258	178	231
KLHL21	312	286	320	292
PHF13	629	639	586	670
THAP3	412	351	147	152
DNAJC11	597	570	504	572
LOC100505887	0	0	0	1
CAMTA1	1340	1377	725	818
VAMP3	2540	2632	1501	1524
PER3	210	169	75	119
UTS2	12	8	1	1
TNFRSF9	107	100	6	13
PARK7	3909	4023	2333	2330
ERRFI1	815	778	481	502
LOC102724539	0	0	1	0
SLC45A1	5	5	1	3
RERE	1302	1301	801	887
LOC102724552	11	10	5	7
ENO1	35669	37015	15895	15536
MIR6728	5	2	1	2
ENO1-AS1	14	11	5	9
CA6	0	1	0	0
SLC2A7	1	1	0	0
SLC2A5	2	2	5	3
GPR157	25	25	14	14
MIR34A	3	4	3	5
H6PD	1043	1161	373	397
SPSB1	118	103	59	79
LOC100506022	24	22	13	15
SLC25A33	227	253	158	171
TMEM201	422	390	354	357
PIK3CD	212	241	114	144
PIK3CD-AS1	1	1	0	0
PIK3CD-AS2	189	178	74	79
CLSTN1	1942	1779	1246	1414
CTNNBIP1	455	514	237	243
LZIC	1378	1509	614	674
NMNAT1	380	374	185	211
MIR5697	0	1	1	2
RBP7	64	60	24	33
UBE4B	1175	1117	930	1112
KIF1B	4020	4146	2574	2781
MIR1273D	0	1	0	0
RNU6-1	0	0	0	0
RNU6-2	0	0	0	0
RNU6-7	0	0	0	0
RNU6-9	0	0	0	0
RNU6-8	0	0	0	0
PGD	3034	2782	1771	1767
APITD1-CORT	0	0	0	0
APITD1	121	174	71	94
CORT	20	8	14	12
DFFA	2227	2103	1354	1413
PEX14	342	293	192	188
CASZ1	124	113	94	111
C1orf127	1	4	3	3
TARDBP	4976	5326	4067	4689
MASP2	199	182	90	95
SRM	651	727	600	627
EXOSC10	3887	3827	1978	2077
MTOR	2811	2643	2005	2322
MTOR-AS1	14	5	2	11
ANGPTL7	29	21	20	23
UBIAD1	489	532	293	365
PTCHD2	3	6	5	8
LOC101929181	3	2	5	6
FBXO2	78	58	26	40
FBXO44	380	395	171	171
FBXO6	20	24	17	20
MAD2L2	959	964	540	533
DRAXIN	1	3	0	0
AGTRAP	266	234	147	168
C1orf167	10	17	13	8
LOC102724659	5	4	3	3
MTHFR	289	293	184	184
CLCN6	212	225	187	162
NPPA-AS1	8	3	2	5
NPPA	1	3	1	3
NPPB	2	1	1	0
RNU5E-1	125	183	44	100
KIAA2013	389	338	236	264
PLOD1	704	672	419	481
MFN2	2086	2114	1539	1605
MIIP	200	221	116	97
MIR6729	0	0	0	0
TNFRSF8	0	2	1	0
MIR7846	0	0	0	0
TNFRSF1B	2	6	6	4
MIR4632	0	0	0	0
VPS13D	3191	3170	1617	1672
SNORA59A	0	0	0	0
SNORA59B	0	0	0	0
DHRS3	347	309	194	218
MIR6730	0	1	1	1
AADACL4	2	0	0	0
AADACL3	1	0	0	0
C1orf158	0	0	0	0
PRAMEF12	1	0	0	1
PRAMEF1	1	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	19	21	10	14
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
LOC101929983	0	0	0	0
HNRNPCL3	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF26	0	0	0	0
LOC649324	0	0	0	0
LOC645354	0	0	0	0
HNRNPCL2	186	182	68	79
PRAMEF9	0	0	0	0
LOC400736	0	0	0	0
LOC391003	1	0	1	0
PRAMEF22	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
LOC645382	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	2	0	2	1
LRRC38	1	0	0	1
PDPN	480	479	245	293
PRDM2	1383	1395	929	1068
KAZN	196	189	158	164
TMEM51-AS1	7	12	7	6
TMEM51	127	122	93	124
C1orf195	12	8	6	8
FHAD1	115	107	31	56
EFHD2	427	410	358	393
CTRC	0	1	2	1
CELA2A	0	0	1	0
CELA2B	9	5	2	3
CASP9	249	268	123	130
DNAJC16	954	930	599	610
AGMAT	50	32	40	30
DDI2	292	315	231	275
RSC1A1	231	215	195	205
PLEKHM2	849	837	499	567
SLC25A34	4	7	1	3
TMEM82	0	0	1	0
FBLIM1	243	250	124	125
UQCRHL	734	744	350	320
FLJ37453	401	349	203	224
SPEN	11074	10661	9638	11411
MIR5096	2	0	1	0
ZBTB17	264	241	183	184
C1orf64	1	0	0	1
HSPB7	1	0	0	0
CLCNKA	2	4	1	1
CLCNKB	23	26	9	5
FAM131C	18	16	14	11
EPHA2	285	257	214	216
ARHGEF19	50	36	24	25
RSG1	76	59	28	30
FBXO42	879	824	546	562
SZRD1	1673	1848	1315	1467
SPATA21	4	11	10	3
NECAP2	796	747	474	518
CROCCP3	267	272	124	145
RNU1-1	0	0	0	0
RNU1-2	0	0	0	0
RNU1-3	0	0	0	0
RNU1-28P	0	0	0	0
RNVU1-18	0	0	0	0
RNU1-27P	0	0	0	0
RNU1-4	0	0	0	0
FAM231B	0	0	0	1
MIR3675	0	0	0	0
NBPF1	184	166	78	81
CROCCP2	363	354	212	208
MST1P2	15	14	1	2
FAM231A	0	0	0	0
FAM231C	0	0	0	0
ESPNP	1	0	0	0
MST1L	2	5	4	1
CROCC	146	118	72	57
MFAP2	33	33	22	18
ATP13A2	427	388	291	312
SDHB	2339	2603	1323	1331
PADI2	58	86	49	51
PADI1	1	0	0	0
PADI3	11	12	5	6
MIR3972	0	0	0	0
PADI4	0	0	0	1
PADI6	3	0	1	0
RCC2	3092	3120	2184	2469
ARHGEF10L	163	131	53	55
ACTL8	1	0	0	1
LOC101927876	0	0	0	0
IGSF21	14	9	4	3
KLHDC7A	7	4	1	8
PAX7	20	22	9	7
TAS1R2	0	0	1	0
ALDH4A1	92	122	66	89
MIR4695	0	0	0	0
MIR1290	1	1	1	0
IFFO2	300	317	241	282
UBR4	7993	7450	4586	5067
EMC1	1737	1785	1158	1184
MRTO4	1020	950	864	885
AKR7L	35	33	26	34
AKR7A3	17	16	4	5
LOC100506730	230	242	124	125
AKR7A2	1065	1100	418	505
PQLC2	139	164	94	111
CAPZB	1666	1838	1095	1105
MINOS1-NBL1	0	0	0	0
MINOS1	1255	1406	749	791
RPS14P3	435	392	139	146
NBL1	5	1	2	1
HTR6	62	63	31	35
TMCO4	84	78	44	48
RNF186	0	0	0	0
OTUD3	1402	1423	851	997
PLA2G2E	0	0	0	0
PLA2G2A	0	0	0	0
PLA2G5	0	0	0	0
PLA2G2D	0	0	2	0
PLA2G2F	0	0	1	0
PLA2G2C	0	1	1	0
UBXN10-AS1	0	0	0	0
UBXN10	0	0	2	0
VWA5B1	0	3	3	1
LINC01141	1	0	0	0
CAMK2N1	279	315	140	183
MUL1	513	476	315	325
FAM43B	42	29	28	31
CDA	20	9	7	16
PINK1	222	204	99	99
MIR6084	0	0	0	0
PINK1-AS	94	83	57	80
DDOST	2682	2675	1375	1416
KIF17	313	320	94	109
SH2D5	128	105	83	96
HP1BP3	4265	4642	2117	2281
EIF4G3	4863	4455	3623	3949
MIR1256	5	2	2	2
ECE1	577	543	421	400
LOC100506801	32	39	9	7
NBPF3	369	390	196	222
ALPL	53	55	31	32
RAP1GAP	107	121	70	66
USP48	3008	3092	1703	1963
LDLRAD2	1	3	1	1
HSPG2	364	353	136	161
CELA3B	0	0	0	0
CELA3A	0	2	0	0
LOC101928043	10	11	6	4
LINC00339	380	357	120	146
CDC42	6014	6661	3346	3611
WNT4	44	36	21	19
MIR4418	0	0	0	0
ZBTB40	1321	1125	821	1003
EPHA8	63	64	32	33
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	1	0	1
C1QB	0	0	0	0
EPHB2	326	365	184	245
MIR4684	0	2	0	0
MIR4253	0	0	0	0
LACTBL1	0	0	0	0
C1orf234	8	10	4	9
KDM1A	3391	3369	2300	2457
MIR3115	3	3	3	0
MIR4419A	3	1	1	1
LUZP1	1557	1432	1270	1273
HTR1D	41	38	19	35
LINC01355	418	404	117	126
HNRNPR	10122	11042	6373	7131
ZNF436	891	817	453	435
ZNF436-AS1	203	207	46	52
TCEA3	22	19	10	21
ASAP3	345	341	178	156
E2F2	898	924	572	598
LOC101928163	29	22	15	12
ID3	166	199	194	208
MDS2	0	2	0	1
RPL11	32521	36615	11146	12837
TCEB3	1608	1562	1497	1494
TCEB3-AS1	49	49	18	18
PITHD1	1180	1345	599	624
LYPLA2	265	278	208	192
GALE	323	311	214	238
HMGCL	708	747	271	224
FUCA1	459	522	269	300
CNR2	0	0	3	8
MIR378F	0	0	0	0
PNRC2	1946	2091	959	1101
SRSF10	6251	7279	3476	3966
MYOM3	1	6	4	4
IL22RA1	1	1	0	0
IFNLR1	259	256	164	157
LOC284632	1	0	0	2
GRHL3	33	33	20	29
STPG1	491	551	192	232
NIPAL3	974	941	572	587
RCAN3AS	8	5	1	0
RCAN3	430	417	288	348
LOC100506985	79	92	68	85
NCMAP	4	9	0	2
SRRM1	3546	3621	2403	2576
CLIC4	6242	7617	2894	3195
RUNX3	123	123	97	96
MIR6731	1	0	1	0
MIR4425	0	0	0	0
SYF2	953	982	370	414
RSRP1	844	813	416	513
RHD	1	0	1	0
TMEM50A	1924	2012	1188	1312
RHCE	20	22	7	2
TMEM57	1045	1045	536	617
LDLRAP1	301	247	225	214
MAN1C1	88	78	40	56
SEPN1	1156	1188	802	930
MTFR1L	895	889	477	432
LOC646471	121	128	84	75
AUNIP	1028	1159	577	601
PAQR7	115	91	62	66
STMN1	11893	13092	5372	5724
MIR3917	0	0	0	0
PAFAH2	201	213	114	114
EXTL1	36	37	23	17
SLC30A2	8	5	8	3
TRIM63	0	1	1	1
PDIK1L	1315	1610	677	709
FAM110D	0	4	2	2
ZNF593	314	347	178	208
CNKSR1	14	11	17	15
CATSPER4	0	2	4	0
LOC101928303	1	2	1	1
CEP85	1435	1306	924	906
SH3BGRL3	154	170	134	174
UBXN11	216	182	110	103
CD52	3	3	1	2
AIM1L	19	13	12	6
ZNF683	0	0	0	0
LIN28A	8	3	4	4
DHDDS	576	537	316	329
LOC101928324	47	27	13	21
HMGN2	2181	2602	1610	1671
RPS6KA1	421	463	341	409
MIR1976	0	1	0	0
ARID1A	1768	1705	1291	1574
PIGV	275	354	97	106
ZDHHC18	440	423	363	383
SFN	14	15	8	6
GPN2	298	266	184	214
GPATCH3	157	104	124	175
NR0B2	2	1	0	0
NUDC	698	658	586	690
KDF1	4	4	7	3
TRNP1	186	202	114	155
FAM46B	15	14	11	24
SLC9A1	230	190	170	190
WDTC1	775	780	437	497
TMEM222	236	250	151	137
ACTG1P20	531	459	322	362
RNU6-48P	0	0	0	0
SYTL1	61	68	16	25
MAP3K6	173	204	160	153
FCN3	0	5	3	2
CD164L2	3	2	2	2
GPR3	31	30	21	32
WASF2	2518	2421	1152	1255
AHDC1	154	143	152	203
FGR	0	0	1	2
IFI6	155	128	86	118
FAM76A	832	969	478	542
STX12	2748	2978	1284	1377
PPP1R8	4150	4367	2226	2328
SCARNA1	13	22	17	22
THEMIS2	110	114	88	77
RPA2	4112	4567	2080	2088
SMPDL3B	203	153	114	107
XKR8	191	211	120	118
EYA3	2452	2307	1825	2043
PTAFR	9	7	32	26
DNAJC8	4971	5164	2930	3134
ATPIF1	2647	2943	1608	1682
SESN2	2120	2228	747	704
MED18	654	699	263	302
PHACTR4	2358	2284	1620	1868
SNHG3	2358	2170	1071	1193
RCC1	4087	3702	2763	2874
SNORA73A	1560	2445	588	1301
SNORA73B	1552	2253	587	993
TRNAU1AP	899	1049	524	549
SNHG12	980	995	427	433
SNORD99	52	54	20	29
SNORA61	198	238	75	155
SNORA44	101	90	50	55
SNORA16A	31	31	22	22
RAB42	2	4	1	3
TAF12	1133	1286	480	485
RNU11	65	73	54	59
GMEB1	536	503	369	426
YTHDF2	2702	2601	2155	2235
OPRD1	12	7	5	5
EPB41	4919	4742	3089	3403
TMEM200B	19	14	7	3
SRSF4	4099	4090	2333	2630
MECR	650	724	354	334
PTPRU	1477	1553	743	780
LOC101928460	2	0	6	9
LOC101929406	0	0	0	0
MATN1	26	11	10	9
MATN1-AS1	60	71	23	14
LAPTM5	7	7	5	2
MIR4420	0	0	0	0
SDC3	1051	1151	532	574
PUM1	6445	6454	4343	4765
SNORD103A	0	0	0	0
SNORD103B	0	0	0	0
SNORD85	16	10	10	7
NKAIN1	42	45	27	31
SNRNP40	2732	2829	1479	1744
ZCCHC17	1387	1414	827	794
FABP3	86	73	46	49
SERINC2	166	177	72	100
LINC01225	0	0	1	0
LINC01226	0	0	5	2
TINAGL1	2	4	4	4
HCRTR1	16	22	19	20
PEF1	2810	2877	1310	1347
COL16A1	6	10	5	1
ADGRB2	697	573	271	330
MIR4254	0	0	0	0
SPOCD1	43	41	11	20
PTP4A2	8340	8486	4961	5570
KHDRBS1	6010	6354	3974	4442
TMEM39B	471	380	203	230
MIR5585	2	1	3	2
KPNA6	4746	4889	3373	3703
TXLNA	3949	4050	2512	2670
CCDC28B	348	315	230	195
IQCC	428	417	252	244
DCDC2B	162	137	56	88
TMEM234	183	194	82	95
EIF3I	3474	3460	2276	2295
MTMR9LP	22	19	14	13
FAM167B	5	2	3	2
LCK	2	4	4	4
HDAC1	4385	4425	3382	3558
MARCKSL1	1847	1921	2014	2054
FAM229A	66	58	19	12
TSSK3	357	306	107	136
BSDC1	2849	2735	1186	1242
ZBTB8B	489	490	217	201
ZBTB8A	1353	1473	625	698
ZBTB8OS	931	965	375	450
RBBP4	7882	8032	4425	4747
SYNC	36	51	18	16
KIAA1522	866	764	519	586
YARS	9076	9078	4021	4014
S100PBP	2610	2797	1157	1195
FNDC5	102	80	54	59
HPCA	19	11	8	11
TMEM54	103	90	45	57
RNF19B	783	810	427	462
AK2	7064	7341	3555	3688
AZIN2	150	136	52	55
TRIM62	159	139	132	152
ZNF362	683	644	336	343
A3GALT2	0	0	0	5
PHC2	904	958	588	588
MIR3605	4	12	4	2
LOC101929464	21	22	16	14
ZSCAN20	551	625	307	312
CSMD2	12	15	7	3
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
C1orf94	0	0	0	0
MIR552	0	0	0	0
GJB5	2	4	2	1
GJB4	1	1	2	3
GJB3	14	2	5	2
GJA4	6	5	3	3
SMIM12	500	538	380	428
DLGAP3	12	13	10	16
LOC653160	43	43	11	11
ZMYM6NB	229	261	82	89
ZMYM6	947	1068	412	491
ZMYM1	3054	3657	1381	1704
SFPQ	6460	6719	6606	7521
ZMYM4	4696	4744	3200	3431
KIAA0319L	1674	1642	771	916
NCDN	357	368	251	252
TFAP2E	24	23	21	10
PSMB2	3421	3628	2385	2450
C1orf216	285	283	229	230
CLSPN	3354	3420	2343	2467
AGO4	1265	1288	642	721
AGO1	1448	1329	1123	1259
AGO3	879	875	530	607
TEKT2	37	27	9	5
ADPRHL2	417	442	164	215
COL8A2	14	14	13	9
TRAPPC3	1329	1408	785	819
MAP7D1	1176	1158	683	710
THRAP3	7595	7148	4519	5020
SH3D21	136	164	44	58
EVA1B	91	73	33	29
STK40	1094	1051	512	526
LSM10	389	407	268	264
OSCP1	220	219	73	83
MRPS15	1459	1525	812	845
CSF3R	2	2	2	3
GRIK3	0	0	1	0
MIR4255	0	0	0	0
LINC01137	14	13	7	10
ZC3H12A	36	31	36	41
MIR6732	0	0	0	0
MEAF6	1780	2067	873	983
MIR5581	7	4	3	1
SNIP1	818	863	606	628
DNALI1	103	91	41	39
GNL2	3384	3607	2864	2912
RSPO1	7	6	1	0
C1orf109	924	894	579	572
CDCA8	1315	1306	679	671
EPHA10	34	37	14	19
MANEAL	421	399	298	327
YRDC	493	553	460	435
C1orf122	333	323	163	169
MTF1	533	554	469	521
INPP5B	1067	1093	528	538
SF3A3	2587	2597	1770	1959
FHL3	145	158	72	73
UTP11L	2024	2252	1091	1158
POU3F1	56	42	39	26
MIR3659	0	0	1	0
LINC01343	2	1	0	0
RRAGC	656	681	456	508
MYCBP	0	0	0	0
GJA9-MYCBP	18	10	6	8
GJA9	0	0	0	0
RHBDL2	21	19	21	15
AKIRIN1	1993	2234	1363	1564
NDUFS5	1770	1911	1144	1184
MACF1	5088	4731	3535	3788
KIAA0754	701	658	537	604
BMP8A	141	142	57	49
PPIEL	314	314	86	80
PABPC4	1831	1831	1463	1660
LOC101929516	46	44	20	15
SNORA55	16	14	6	6
HEYL	196	161	101	110
NT5C1A	36	30	31	26
HPCAL4	334	317	178	224
PPIE	1960	2055	789	825
BMP8B	147	122	73	78
OXCT2	11	10	3	3
TRIT1	1377	1343	548	560
MYCL	225	191	112	125
MFSD2A	87	83	80	80
CAP1	3231	3426	2143	2193
PPT1	3751	3904	2413	2561
RLF	3912	3680	2460	2398
TMCO2	1	1	1	1
ZMPSTE24	2082	2151	1722	1848
COL9A2	43	35	14	23
SMAP2	949	926	517	603
ZFP69B	306	341	105	120
ZFP69	363	391	174	177
EXO5	127	110	56	61
ZNF684	268	322	112	128
RIMS3	672	650	237	272
NFYC-AS1	301	305	149	181
NFYC	891	789	426	448
MIR30E	2	12	10	9
MIR30C1	4	3	3	0
KCNQ4	68	47	27	31
CITED4	20	17	8	6
CTPS1	3866	3718	2830	2912
SLFNL1-AS1	169	173	67	103
SLFNL1	48	35	33	14
SCMH1	1208	1217	581	589
FOXO6	36	49	26	22
EDN2	0	0	0	1
HIVEP3	132	127	77	106
GUCA2B	0	0	0	1
GUCA2A	1	0	0	1
FOXJ3	1990	1992	1246	1373
RIMKLA	446	412	204	230
ZMYND12	6	5	3	3
PPCS	1002	1163	403	452
CCDC30	38	43	30	34
PPIH	1179	1342	662	690
YBX1	4282	4641	2811	2933
CLDN19	1	4	6	9
P3H1	1018	927	396	450
C1orf50	264	261	128	104
LOC100129924	18	22	11	6
SVBP	439	500	152	180
ERMAP	212	234	122	109
ZNF691	307	368	189	185
LOC339539	1	5	3	0
SLC2A1	254	231	167	154
SLC2A1-AS1	32	43	12	16
FAM183A	18	20	11	8
EBNA1BP2	1037	968	1071	971
MIR6733	3	1	0	1
CFAP57	16	12	7	12
TMEM125	0	0	0	0
C1orf210	1	3	0	0
TIE1	2	1	1	2
MPL	18	19	15	10
CDC20	1006	969	899	857
ELOVL1	578	574	349	388
MIR6734	0	1	1	1
MED8	1680	1827	538	614
SZT2	808	831	405	395
MIR6735	1	1	0	0
HYI	0	0	0	0
PTPRF	2986	2922	1881	2091
KDM4A	1836	1708	951	888
KDM4A-AS1	31	39	25	29
ST3GAL3	266	294	117	127
LOC101929592	7	9	6	3
MIR6079	5	0	0	0
ARTN	10	9	11	3
IPO13	454	419	286	297
DPH2	263	271	262	278
ATP6V0B	662	724	545	536
B4GALT2	787	780	467	491
CCDC24	38	37	23	26
SLC6A9	302	250	101	101
KLF17	1	1	1	1
DMAP1	315	291	161	182
ERI3	1073	1075	508	522
ERI3-IT1	67	47	26	36
RNF220	1206	1240	675	735
MIR5584	2	1	1	0
TMEM53	63	70	29	38
C1orf228	26	15	6	8
RNU5F-1	13	8	15	11
RNU5D-1	6	8	9	26
KIF2C	4171	4401	1394	1504
RPS8	34340	37409	11360	11747
SNORD55	61	46	26	37
SNORD46	59	68	54	55
SNORD38A	33	26	19	18
SNORD38B	19	16	9	10
BEST4	8	9	8	6
PLK3	43	40	42	34
TCTEX1D4	0	0	3	2
BTBD19	11	5	5	1
PTCH2	28	27	24	30
EIF2B3	1392	1493	807	808
HECTD3	281	278	159	229
UROD	1086	1066	588	625
ZSWIM5	246	231	152	163
LINC01144	30	24	8	9
HPDL	9	6	5	4
MUTYH	356	325	102	112
TOE1	304	343	202	213
TESK2	309	286	155	155
CCDC163P	146	133	29	50
MMACHC	445	411	305	312
PRDX1	5657	5709	5248	5374
AKR1A1	1704	1700	523	511
NASP	4971	4858	3456	3635
CCDC17	27	28	22	19
GPBP1L1	3159	3282	1840	2050
RPS15AP10	79	79	31	28
TMEM69	1171	1297	412	446
IPP	639	808	289	302
MAST2	997	1004	474	512
PIK3R3	657	631	529	588
LOC101929626	2	2	0	3
TSPAN1	9	7	2	7
POMGNT1	895	944	501	469
LURAP1	54	46	24	19
RAD54L	1356	1378	741	854
LRRC41	960	866	485	479
UQCRH	3529	4178	1434	1621
NSUN4	807	728	407	433
FAAH	31	29	21	18
FAAHP1	42	34	9	13
LINC01398	19	19	11	8
DMBX1	94	102	42	59
MKNK1-AS1	28	22	11	16
KNCN	0	1	0	0
MKNK1	295	276	181	203
MOB3C	98	93	68	63
ATPAF1	1626	1750	960	926
TEX38	4	4	5	1
EFCAB14-AS1	14	7	12	14
EFCAB14	972	1092	834	947
CYP4B1	0	1	0	1
CYP4Z2P	0	0	0	0
CYP4A11	1	1	0	0
CYP4X1	4	6	0	2
CYP4Z1	3	2	2	1
CYP4A22	8	10	2	4
LINC00853	7	7	4	1
PDZK1IP1	0	0	0	0
TAL1	26	26	20	25
STIL	2367	2425	1265	1447
CMPK1	2654	2999	1408	1603
LINC01389	49	38	19	23
FOXE3	10	8	4	2
FOXD2-AS1	217	212	86	100
FOXD2	144	149	80	82
TRABD2B	44	63	41	28
SKINTL	0	4	1	1
SLC5A9	7	9	8	6
SPATA6	309	370	143	174
AGBL4	2	0	1	2
BEND5	37	32	18	11
LOC101929721	0	0	0	0
AGBL4-IT1	0	0	0	0
ELAVL4	1	1	2	0
DMRTA2	37	22	14	11
FAF1	3576	3616	1934	1985
CDKN2C	723	836	398	462
MIR4421	0	1	1	0
MIR6500	0	0	0	0
C1orf185	0	1	0	0
RNF11	1137	1366	743	920
TTC39A	325	272	123	151
TTC39A-AS1	1	1	2	3
EPS15	4317	4587	2058	2267
OSBPL9	3994	4212	1763	1864
NRD1	5517	5571	3296	3345
MIR761	0	0	0	0
RAB3B	970	882	479	561
TXNDC12	2729	3028	1104	1190
KTI12	0	0	0	0
TXNDC12-AS1	16	18	6	10
BTF3L4	2308	2875	956	1072
ZFYVE9	1738	1721	871	983
CC2D1B	614	617	359	399
ORC1	1438	1462	968	978
PRPF38A	2210	2184	1344	1381
ZCCHC11	3685	3444	1859	2017
GPX7	3	4	4	1
FAM159A	0	0	0	1
COA7	722	702	485	577
ZYG11B	2803	3072	1776	1988
ZYG11A	1241	1088	681	773
ECHDC2	146	118	73	88
SCP2	2456	2705	1401	1448
MIR1273F	0	1	0	0
MIR5095	0	0	0	0
MIR1273G	0	0	0	1
PODN	0	1	0	0
SLC1A7	2	1	0	0
CPT2	609	589	293	308
C1orf123	813	938	300	310
MAGOH	1070	1276	629	685
LOC100507564	18	17	9	10
LRP8	677	698	481	543
LOC105378732	1	1	2	2
SLC25A3P1	0	0	0	0
DMRTB1	0	0	0	0
GLIS1	29	19	14	21
NDC1	5407	6288	3318	3661
YIPF1	477	508	252	269
DIO1	23	22	18	12
HSPB11	671	848	435	474
LRRC42	815	746	541	537
LDLRAD1	0	1	1	1
TMEM59	3326	3823	1413	1485
TCEANC2	2228	2181	850	846
MIR4781	1	0	0	0
CDCP2	5	5	3	6
CYB5RL	427	416	253	228
MRPL37	4311	4300	2206	2193
SSBP3	592	547	418	458
SSBP3-AS1	70	80	45	41
ACOT11	27	23	15	20
FAM151A	4	3	3	2
MROH7	1	0	0	0
MROH7-TTC4	0	0	0	3
TTC4	20	15	13	9
PARS2	364	327	186	168
TTC22	0	0	1	0
C1orf177	6	11	6	2
DHCR24	1963	1863	1999	2189
TMEM61	0	0	0	0
