ID	Description	Type	pvalue	Count	geneID
GO:0007601	visual perception	sensory perception	6.26E-06	16	IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/GLRA1/DHRS3/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYBB2
GO:0050953	sensory perception of light stimulus	sensory perception	7.24E-06	16	IMPG2/RPGRIP1/PDE6C/CRYBA1/GUCA1B/PDC/OPN1SW/GLRA1/DHRS3/KCNJ10/RRH/LRIT3/SLITRK6/PDE6G/RORB/CRYBB2
GO:0098656	anion transmembrane transport	anion transport	1.26E-05	21	SLC6A13/LRP2/SLC26A4/SLC26A3/SLC5A5/RGS4/SLC25A2/SLC35D2/SLC37A2/GLRA1/SLC26A7/SLC25A31/SLC9C2/SLC13A4/PTAFR/KCNJ10/SLC17A8/SLC25A18/SLC24A5/SLC12A8/SLC35D2
GO:0046942	carboxylic acid transport	anion transport	1.36E-05	20	SLC6A13/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/PLA2G12B/SLC26A7/SLC16A14/SLC16A9/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC10A5/SLC35D2
GO:0006954	inflammatory response	inflammatory	2.08E-05	35	STAP1/PTGER3/IFI35/CXCL2/NLRC4/PTGS1/GGT1/NFKBIA/IL17F/HYAL1/SERPINC1/TNFAIP3/TEK/THEMIS2/SYT11/HRH4/NT5E/MYLK3/MEP1B/GPR32/ECM1/DUSP10/IL34/IL23R/CD200R1/PTX3/IL17RE/CXCL3/PTAFR/PTGER4/CSF1/LRRC19/CXCL17/LTA/GGT1
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	cell adhesion	2.79E-05	16	CELSR3/CEACAM1/TGFB2/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/CEACAM8/CLDN14/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	cell adhesion	4.24E-05	6	PCDHB10/PCDHB14/DCHS1/PCDHB13/PCDHB11/PCDHB16
GO:0015711	organic anion transport	anion transport	5.11E-05	23	SLC6A13/SLC2A3/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/PLA2G12B/MTTP/SLC26A7/SLC25A31/SLC16A14/SLC16A9/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC10A5/SLC35D2
GO:0030239	myofibril assembly	other	7.68E-05	9	MYH3/PROX1/MYLK3/CASQ1/ACTA1/MYOZ2/MYOZ1/NEB/KLHL41
GO:0050778	positive regulation of immune response	immune	8.52E-05	28	CD74/BTN3A1/STAP1/IFI35/CEACAM1/NLRC4/TGFB2/LPXN/HPX/IL17F/PDE4D/HHLA2/COLEC11/THEMIS2/VTCN1/GPR32/CD226/IL23R/ERMAP/C2/PTAFR/GPR151/C1S/PLA2G6/FYB2/KLRK1/LTA/RAET1E
GO:0055002	striated muscle cell development	other	9.49E-05	9	MYH3/PROX1/MYLK3/CASQ1/ACTA1/MYOZ2/MYOZ1/NEB/KLHL41
GO:0002684	positive regulation of immune system process	immune	0.000137168	38	CD74/BTN3A1/STAP1/IFI35/CEACAM1/NLRC4/TGFB2/LPXN/HPX/IL17F/PDE4D/HES1/HHLA2/COLEC11/SOX4/THEMIS2/VTCN1/GPR32/DUSP10/CD226/JAM2/IL34/IL23R/ERMAP/C2/PTAFR/GPR151/JUN/HCLS1/C1S/CSF1/PLA2G6/FYB2/CXCL17/HLA-DMA/KLRK1/LTA/RAET1E
GO:0007129	homologous chromosome pairing at meiosis	other	0.000166665	8	MSH4/MLH3/HORMAD1/ANKRD31/MAJIN/C14orf39/MEIOC/RAD21L1
GO:0045214	sarcomere organization	other	0.000172985	7	MYH3/PROX1/MYLK3/CASQ1/MYOZ2/MYOZ1/KLHL41
GO:0006959	humoral immune response	humoral	0.00017551	12	CXCL2/HPX/IL17F/COLEC11/IFNA5/CXCL3/C2/WFDC12/C1S/PLA2G6/LTA/H2BC6
GO:0015718	monocarboxylic acid transport	anion transport	0.000207183	9	SLC6A13/CEACAM1/SLC16A6/SLC6A12/PLA2G12B/SLC16A14/SLC16A9/PLA2G6/SLC10A5
GO:0098661	inorganic anion transmembrane transport	anion transport	0.000295433	9	SLC26A4/SLC26A3/SLC5A5/SLC37A2/GLRA1/SLC26A7/SLC13A4/PTAFR/SLC12A8
GO:0001539	cilium or flagellum-dependent cell motility	cilium movement	0.000328345	11	DNAH11/RSPH4A/ATP1A4/DRC1/DNAI3/SLC9B1/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206
