gene_id,CK0816,	gene_id	CK0816	CK0817	CK0818	CK0819	CK0820	CK0821	CK0822	CK0823	CK0824
ENSG00000142599	ENSG00000142599|RERE	715	801	553	582	489	468	1066	679	658
ENSG00000232912	ENSG00000232912|RERE-AS1	19	24	17	15	14	9	21	21	12
ENSG00000221083	ENSG00000221083	0	1	3	2	2	2	6	3	0
ENSG00000074800	ENSG00000074800|ENO1	16230	11281	14381	5228	4418	4850	12036	7248	7937
ENSG00000230679	ENSG00000230679|ENO1-AS1	0	5	4	0	5	10	16	18	9
ENSG00000270282	ENSG00000270282	4	6	3	3	8	3	6	5	9
ENSG00000234619	ENSG00000234619|RPL7P11	40	28	35	30	38	35	67	58	62
ENSG00000224315	ENSG00000224315|RPL7P7	26	25	47	43	53	62	67	69	69
ENSG00000222511	ENSG00000222511|Y_RNA	10	6	8	9	7	10	13	21	11
ENSG00000226545	ENSG00000226545	21	15	13	19	23	27	40	17	35
ENSG00000228423	ENSG00000228423	21	14	22	14	29	31	40	34	33
ENSG00000229716	ENSG00000229716|RPL23AP19	4	2	1	3	1	2	4	4	6
ENSG00000274258	ENSG00000274258|MIR6728	4	4	4	2	3	2	2	2	5
ENSG00000162444	ENSG00000162444|RBP7	0	0	0	5	5	6	0	0	3
ENSG00000130939	ENSG00000130939|UBE4B	1250	832	1173	638	531	624	1073	796	873
ENSG00000224340	ENSG00000224340|RPL21P21	1	3	9	3	5	10	8	8	9
ENSG00000233623	ENSG00000233623|PGAM1P11	11	11	12	0	7	5	7	9	12
ENSG00000201746	ENSG00000201746|RNU6-828P	2	1	3	0	0	2	0	2	2
ENSG00000284642	ENSG00000284642	41	35	34	41	57	28	88	58	56
ENSG00000142657	ENSG00000142657|PGD	1229	987	1137	488	385	426	910	662	709
ENSG00000251503	ENSG00000251503|CENPS-CORT	47	27	35	61	0	0	148	78	81
ENSG00000175279	ENSG00000175279|CENPS	189	141	320	141	142	151	202	177	262
ENSG00000271989	ENSG00000271989	4	2	3	4	11	4	6	16	16
