Ensembl	Gene
ENSG00000123575	FAM199X
ENSG00000123595	RAB9A
ENSG00000123643	SLC36A1
ENSG00000123933	MXD4
ENSG00000123975	CKS2
ENSG00000123989	CHPF
ENSG00000123992	DNPEP
ENSG00000124160	NCOA5
ENSG00000124181	PLCG1
ENSG00000124193	SRSF6
ENSG00000124207	CSE1L
ENSG00000124209	RAB22A
ENSG00000124214	STAU1
ENSG00000124226	RNF114
ENSG00000124228	DDX27
ENSG00000124357	NAGK
ENSG00000124532	MRS2
ENSG00000124535	WRNIP1
ENSG00000124562	SNRPC
ENSG00000124588	NQO2
ENSG00000124608	AARS2
ENSG00000124614	RPS10
ENSG00000124641	MED20
ENSG00000124702	KLHDC3
ENSG00000124733	MEA1
ENSG00000124767	GLO1
ENSG00000124783	SSR1
ENSG00000124787	RPP40
ENSG00000124942	AHNAK
ENSG00000125037	EMC3
ENSG00000125107	CNOT1
ENSG00000125148	MT2A
ENSG00000125166	GOT2
ENSG00000125170	DOK4
ENSG00000125356	NDUFA1
ENSG00000125375	DMAC2L
ENSG00000125445	MRPS7
ENSG00000125503	PPP1R12C
ENSG00000125505	MBOAT7
ENSG00000125648	SLC25A23
ENSG00000125652	ALKBH7
ENSG00000125741	OPA3
ENSG00000125743	SNRPD2
ENSG00000125755	SYMPK
ENSG00000125834	STK35
ENSG00000125835	SNRPB
ENSG00000125841	NRSN2
ENSG00000125843	AP5S1
ENSG00000125844	RRBP1
ENSG00000125868	DSTN
ENSG00000125870	SNRPB2
ENSG00000125877	ITPA
ENSG00000125901	MRPS26
ENSG00000125912	NCLN
ENSG00000125944	HNRNPR
ENSG00000125952	MAX
ENSG00000125970	RALY
ENSG00000125977	EIF2S2
ENSG00000125995	ROMO1
ENSG00000126003	PLAGL2
ENSG00000126012	KDM5C
ENSG00000126067	PSMB2
ENSG00000126088	UROD
ENSG00000126107	HECTD3
ENSG00000126247	CAPNS1
ENSG00000126249	PDCD2L
ENSG00000126254	RBM42
ENSG00000126267	COX6B1
ENSG00000126391	FRMD8
ENSG00000126432	PRDX5
ENSG00000126453	BCL2L12
ENSG00000126456	IRF3
ENSG00000126457	PRMT1
ENSG00000126602	TRAP1
ENSG00000126749	EMG1
ENSG00000126768	TIMM17B
ENSG00000126787	DLGAP5
ENSG00000126878	AIF1L
ENSG00000126934	MAP2K2
ENSG00000126945	HNRNPH2
ENSG00000126953	TIMM8A
ENSG00000126970	ZC4H2
ENSG00000127022	CANX
ENSG00000127184	COX7C
ENSG00000127220	ABHD8
ENSG00000127314	RAP1B
ENSG00000127399	LRRC61
ENSG00000127418	FGFRL1
ENSG00000127445	PIN1
ENSG00000127483	HP1BP3
ENSG00000127511	SIN3B
ENSG00000127540	UQCR11
ENSG00000127586	CHTF18
ENSG00000127616	SMARCA4
ENSG00000127774	EMC6
ENSG00000127837	AAMP
ENSG00000127838	PNKD
ENSG00000127884	ECHS1
ENSG00000127948	POR
ENSG00000127952	STYXL1
ENSG00000128050	PAICS
ENSG00000128185	DGCR6L
ENSG00000128228	SDF2L1
ENSG00000128309	MPST
ENSG00000128335	APOL2
ENSG00000128463	EMC4
ENSG00000128524	ATP6V1F
ENSG00000128563	PRKRIP1
ENSG00000128591	FLNC
ENSG00000128595	CALU
ENSG00000128602	SMO
ENSG00000128626	MRPS12
ENSG00000128641	MYO1B
ENSG00000128699	ORMDL1
ENSG00000128791	TWSG1
ENSG00000128944	KNSTRN
ENSG00000128989	ARPP19
ENSG00000129084	PSMA1
ENSG00000129128	SPCS3
ENSG00000129187	DCTD
ENSG00000129195	PIMREG
ENSG00000129219	PLD2
ENSG00000129235	TXNDC17
ENSG00000129245	FXR2
ENSG00000129250	KIF1C
ENSG00000129255	MPDU1
ENSG00000129351	ILF3
ENSG00000129460	NGDN
ENSG00000129474	AJUBA
ENSG00000129518	EAPP
ENSG00000129559	NEDD8
ENSG00000129562	DAD1
ENSG00000129691	ASH2L
ENSG00000129696	TTI2
ENSG00000129911	KLF16
ENSG00000129925	PGAP6
ENSG00000129932	DOHH
ENSG00000129968	ABHD17A
ENSG00000130021	PUDP
ENSG00000130024	PHF10
ENSG00000130165	ELOF1
ENSG00000130175	PRKCSH
ENSG00000130177	CDC16
ENSG00000130193	THEM6
ENSG00000130202	NECTIN2
ENSG00000130204	TOMM40
ENSG00000130208	APOC1
ENSG00000130227	XPO7
ENSG00000130255	RPL36
ENSG00000130294	KIF1A
ENSG00000130299	GTPBP3
ENSG00000130305	NSUN5
ENSG00000130309	COLGALT1
ENSG00000130311	DDA1
ENSG00000130312	MRPL34
ENSG00000130313	PGLS
ENSG00000130332	LSM7
ENSG00000130340	SNX9
ENSG00000130382	MLLT1
ENSG00000130402	ACTN4
ENSG00000130449	ZSWIM6
ENSG00000130479	MAP1S
ENSG00000130511	SSBP4
ENSG00000130520	LSM4
ENSG00000130706	ADRM1
ENSG00000130725	UBE2M
ENSG00000130726	TRIM28
ENSG00000130731	METTL26
ENSG00000130733	YIPF2
ENSG00000130734	ATG4D
ENSG00000130741	EIF2S3
ENSG00000130748	TMEM160
ENSG00000130764	LRRC47
ENSG00000130770	ATP5IF1
ENSG00000130811	EIF3G
ENSG00000130821	SLC6A8
ENSG00000130826	DKC1
ENSG00000130827	PLXNA3
ENSG00000130935	NOL11
ENSG00000130939	UBE4B
ENSG00000130985	UBA1
ENSG00000131016	AKAP12
ENSG00000131019	ULBP3
ENSG00000131100	ATP6V1E1
ENSG00000131116	ZNF428
ENSG00000131143	COX4I1
ENSG00000131174	COX7B
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000131408	NR1H2
ENSG00000131467	PSME3
ENSG00000131469	RPL27
ENSG00000131473	ACLY
ENSG00000131495	NDUFA2
ENSG00000131504	DIAPH1
ENSG00000131584	ACAP3
ENSG00000131652	THOC6
ENSG00000131653	TRAF7
ENSG00000131711	MAP1B
ENSG00000131747	TOP2A
ENSG00000131748	STARD3
ENSG00000131828	PDHA1
ENSG00000131871	SELENOS
ENSG00000131873	CHSY1
ENSG00000131981	LGALS3
ENSG00000132002	DNAJB1
ENSG00000132004	FBXW9
ENSG00000132017	DCAF15
ENSG00000132024	CC2D1A
ENSG00000132153	DHX30
ENSG00000132182	NUP210
ENSG00000132205	EMILIN2
ENSG00000132254	ARFIP2
ENSG00000132256	TRIM5
ENSG00000132329	RAMP1
ENSG00000132361	CLUH
ENSG00000132382	MYBBP1A
ENSG00000132383	RPA1
ENSG00000132388	UBE2G1
ENSG00000132432	SEC61G
ENSG00000132467	UTP3
ENSG00000132471	WBP2
ENSG00000132475	H3-3B
ENSG00000132507	EIF5A
ENSG00000132589	FLOT2
ENSG00000132591	ERAL1
ENSG00000132768	DPH2
ENSG00000132793	LPIN3
ENSG00000132819	RBM38
ENSG00000132967	HMGB1P5
ENSG00000133026	MYH10
ENSG00000133027	PEMT
ENSG00000133030	MPRIP
ENSG00000133065	SLC41A1
ENSG00000133103	COG6
ENSG00000133134	BEX2
ENSG00000133142	TCEAL4
ENSG00000133169	BEX1
ENSG00000133265	HSPBP1
ENSG00000133275	CSNK1G2
ENSG00000133313	CNDP2
ENSG00000133315	MACROD1
ENSG00000133318	RTN3
ENSG00000133606	MKRN1
ENSG00000133612	AGAP3
ENSG00000133872	SARAF
ENSG00000133884	DPF2
ENSG00000133895	MEN1
ENSG00000133935	ERG28
ENSG00000134001	EIF2S1
ENSG00000134049	IER3IP1
ENSG00000134057	CCNB1
ENSG00000134153	EMC7
ENSG00000134202	GSTM3
ENSG00000134222	PSRC1
ENSG00000134248	LAMTOR5
ENSG00000134250	NOTCH2
ENSG00000134287	ARF3
ENSG00000134291	TMEM106C
ENSG00000134294	SLC38A2
ENSG00000134308	YWHAQ
ENSG00000134440	NARS1
ENSG00000134508	CABLES1
ENSG00000134590	RTL8C
ENSG00000134684	YARS1
ENSG00000134690	CDCA8
ENSG00000134809	TIMM10
ENSG00000134825	TMEM258
ENSG00000134851	TMEM165
ENSG00000134910	STT3A
ENSG00000134996	OSTF1
ENSG00000135018	UBQLN1
ENSG00000135046	ANXA1
ENSG00000135047	CTSL
ENSG00000135048	CEMIP2
ENSG00000135052	GOLM1
ENSG00000135069	PSAT1
ENSG00000135070	ISCA1
ENSG00000135116	HRK
ENSG00000135119	RNFT2
ENSG00000135387	CAPRIN1
ENSG00000135404	CD63
ENSG00000135441	BLOC1S1
ENSG00000135446	CDK4
ENSG00000135451	TROAP
ENSG00000135476	ESPL1
ENSG00000135486	HNRNPA1
ENSG00000135506	OS9
ENSG00000135535	CD164
ENSG00000135622	SEMA4F
ENSG00000135624	CCT7
ENSG00000135698	MPHOSPH6
ENSG00000135736	CCDC102A
ENSG00000135801	TAF5L
ENSG00000135821	GLUL
ENSG00000135862	LAMC1
ENSG00000135916	ITM2C
ENSG00000135940	COX5B
ENSG00000135956	TMEM127
ENSG00000136003	ISCU
ENSG00000136045	PWP1
ENSG00000136052	SLC41A2
ENSG00000136108	CKAP2
ENSG00000136159	NUDT15
ENSG00000136167	LCP1
ENSG00000136213	CHST12
ENSG00000136238	RAC1
ENSG00000136240	KDELR2
ENSG00000136295	TTYH3
ENSG00000136448	NMT1
ENSG00000136485	DCAF7
ENSG00000136518	ACTL6A
ENSG00000136527	TRA2B
ENSG00000136628	EPRS1
ENSG00000136699	SMPD4
ENSG00000136710	CCDC115
ENSG00000136718	IMP4
ENSG00000136720	HS6ST1
ENSG00000136807	CDK9
ENSG00000136810	TXN
ENSG00000136819	C9orf78
ENSG00000136824	SMC2
ENSG00000136826	KLF4
ENSG00000136827	TOR1A
ENSG00000136828	RALGPS1
ENSG00000136830	NIBAN2
ENSG00000136856	SLC2A8
ENSG00000136868	SLC31A1
ENSG00000136877	FPGS
ENSG00000136878	USP20
ENSG00000136888	ATP6V1G1
ENSG00000136908	DPM2
ENSG00000136930	PSMB7
ENSG00000136932	TRMO
ENSG00000136938	ANP32B
ENSG00000136942	RPL35
ENSG00000136943	CTSV
ENSG00000136986	DERL1
ENSG00000137038	DMAC1
ENSG00000137076	TLN1
ENSG00000137100	DCTN3
ENSG00000137135	ARHGEF39
ENSG00000137154	RPS6
ENSG00000137161	CNPY3
ENSG00000137166	FOXP4
ENSG00000137210	TMEM14B
ENSG00000137267	TUBB2A
ENSG00000137275	RIPK1
ENSG00000137285	TUBB2B
ENSG00000137312	FLOT1
ENSG00000137343	ATAT1
ENSG00000137497	NUMA1
ENSG00000137547	MRPL15
ENSG00000137563	GGH
ENSG00000137575	SDCBP
ENSG00000137713	PPP2R1B
ENSG00000137802	MAPKBP1
ENSG00000137807	KIF23
ENSG00000137812	KNL1
ENSG00000137834	SMAD6
ENSG00000137845	ADAM10
ENSG00000137876	RSL24D1
ENSG00000137941	TTLL7
ENSG00000137970	RPL7P9
ENSG00000138029	HADHB
ENSG00000138069	RAB1A
ENSG00000138071	ACTR2
ENSG00000138073	PREB
ENSG00000138074	SLC5A6
ENSG00000138078	PREPL
ENSG00000138085	ATRAID
ENSG00000138107	ACTR1A
ENSG00000138160	KIF11
ENSG00000138279	ANXA7
ENSG00000138326	RPS24
ENSG00000138363	ATIC
ENSG00000138385	SSB
ENSG00000138459	SLC35A5
ENSG00000138594	TMOD3
ENSG00000138629	UBL7
ENSG00000138663	COPS4
ENSG00000138674	SEC31A
ENSG00000138758	SEPTIN11
ENSG00000138760	SCARB2
ENSG00000138768	USO1
ENSG00000138801	PAPSS1
ENSG00000138867	GUCD1
ENSG00000138942	RNF185
ENSG00000139146	SINHCAF
ENSG00000139190	VAMP1
ENSG00000139239	RPL14P1
ENSG00000139291	TMEM19
ENSG00000139343	SNRPF
ENSG00000139354	GAS2L3
ENSG00000139428	MMAB
ENSG00000139433	GLTP
ENSG00000139514	SLC7A1
ENSG00000139546	TARBP2
ENSG00000139641	ESYT1
ENSG00000139644	TMBIM6
ENSG00000139645	ANKRD52
ENSG00000139651	ZNF740
ENSG00000139719	VPS33A
ENSG00000139726	DENR
ENSG00000139880	CDH24
ENSG00000139970	RTN1
ENSG00000140105	WARS1
ENSG00000140264	SERF2
ENSG00000140280	LYSMD2
ENSG00000140319	SRP14
ENSG00000140320	BAHD1
ENSG00000140326	CDAN1
ENSG00000140350	ANP32A
ENSG00000140365	COMMD4
ENSG00000140391	TSPAN3
ENSG00000140395	SKIC8
ENSG00000140416	TPM1
ENSG00000140443	IGF1R
ENSG00000140451	PIF1
ENSG00000140474	ULK3
ENSG00000140497	SCAMP2
ENSG00000140521	POLG
ENSG00000140545	MFGE8
ENSG00000140553	UNC45A
ENSG00000140564	FURIN
ENSG00000140575	IQGAP1
ENSG00000140612	SEC11A
ENSG00000140688	RUSF1
ENSG00000140750	ARHGAP17
ENSG00000140829	DHX38
ENSG00000140854	KATNB1
ENSG00000140941	MAP1LC3B
ENSG00000140990	NDUFB10
ENSG00000140995	DEF8
ENSG00000141076	UTP4
ENSG00000141252	VPS53
ENSG00000141367	CLTC
ENSG00000141380	SS18
ENSG00000141424	SLC39A6
ENSG00000141452	RMC1
ENSG00000141522	ARHGDIA
ENSG00000141543	EIF4A3
ENSG00000141551	CSNK1D
ENSG00000141552	ANAPC11
ENSG00000141582	CBX4
ENSG00000141698	NT5C3B
ENSG00000141699	RETREG3
ENSG00000141741	MIEN1
ENSG00000141759	TXNL4A
ENSG00000141858	SAMD1
ENSG00000141867	BRD4
ENSG00000141985	SH3GL1
ENSG00000141994	DUS3L
ENSG00000142002	DPP9
ENSG00000142039	CCDC97
ENSG00000142168	SOD1
ENSG00000142208	AKT1
ENSG00000142227	EMP3
ENSG00000142230	SAE1
ENSG00000142453	CARM1
ENSG00000142507	PSMB6
ENSG00000142534	RPS11
ENSG00000142541	RPL13A
ENSG00000142546	NOSIP
ENSG00000142634	EFHD2
ENSG00000142655	PEX14
ENSG00000142657	PGD
ENSG00000142669	SH3BGRL3
ENSG00000142864	SERBP1
ENSG00000142871	CCN1
ENSG00000142937	RPS8
ENSG00000142945	KIF2C
ENSG00000142949	PTPRF
ENSG00000143106	PSMA5
ENSG00000143147	GPR161
ENSG00000143149	ALDH9A1
ENSG00000143158	MPC2
ENSG00000143162	CREG1
ENSG00000143179	UCK2
ENSG00000143222	UFC1
ENSG00000143252	SDHC
ENSG00000143321	HDGF
ENSG00000143337	TOR1AIP1
ENSG00000143368	SF3B4
ENSG00000143384	MCL1
ENSG00000143393	PI4KB
ENSG00000143418	CERS2
ENSG00000143420	ENSA
ENSG00000143436	MRPL9
ENSG00000143479	DYRK3
ENSG00000143493	INTS7
ENSG00000143514	TP53BP2
ENSG00000143537	ADAM15
ENSG00000143543	JTB
ENSG00000143545	RAB13
ENSG00000143549	TPM3
ENSG00000143569	UBAP2L
ENSG00000143575	HAX1
ENSG00000143621	ILF2
ENSG00000143641	GALNT2
ENSG00000143653	SCCPDH
ENSG00000143727	ACP1
ENSG00000143742	SRP9
ENSG00000143753	DEGS1
ENSG00000143761	ARF1
ENSG00000143771	CNIH4
ENSG00000143774	GUK1
ENSG00000143799	PARP1
ENSG00000143815	LBR
ENSG00000143819	EPHX1
ENSG00000143870	PDIA6
ENSG00000143933	CALM2
ENSG00000143977	SNRPG
ENSG00000144021	CIAO1
ENSG00000144028	SNRNP200
ENSG00000144040	SFXN5
ENSG00000144043	TEX261
ENSG00000144136	SLC20A1
ENSG00000144381	HSPD1
ENSG00000144485	HES6
ENSG00000144591	GMPPA
ENSG00000144635	DYNC1LI1
ENSG00000144647	POMGNT2
ENSG00000144655	CSRNP1
ENSG00000144677	CTDSPL
ENSG00000144711	IQSEC1
ENSG00000144713	RPL32
ENSG00000144746	ARL6IP5
ENSG00000144815	NXPE3
ENSG00000144867	SRPRB
ENSG00000144959	NCEH1
ENSG00000145022	TCTA
ENSG00000145050	MANF
ENSG00000145191	EIF2B5
ENSG00000145214	DGKQ
ENSG00000145220	LYAR
ENSG00000145335	SNCA
ENSG00000145425	RPS3A
ENSG00000145494	NDUFS6
ENSG00000145741	BTF3
ENSG00000145781	COMMD10
ENSG00000145819	ARHGAP26
ENSG00000145907	G3BP1
ENSG00000145912	NHP2
ENSG00000146066	HIGD2A
ENSG00000146109	ABT1
ENSG00000146223	RPL7L1
ENSG00000146425	DYNLT1
ENSG00000146701	MDH2
ENSG00000146731	CCT6A
ENSG00000146828	SLC12A9
ENSG00000146830	GIGYF1
ENSG00000146834	MEPCE
ENSG00000146858	ZC3HAV1L
ENSG00000147041	SYTL5
ENSG00000147065	MSN
ENSG00000147123	NDUFB11
ENSG00000147140	NONO
ENSG00000147155	EBP
ENSG00000147224	PRPS1
ENSG00000147257	GPC3
ENSG00000147383	NSDHL
ENSG00000147400	CETN2
ENSG00000147403	RPL10
ENSG00000147416	ATP6V1B2
ENSG00000147457	CHMP7
ENSG00000147586	MRPS28
ENSG00000147604	RPL7
ENSG00000147669	POLR2K
ENSG00000147677	EIF3H
ENSG00000147684	NDUFB9
ENSG00000147853	AK3
ENSG00000147889	CDKN2A
ENSG00000147955	SIGMAR1
ENSG00000148175	STOM
ENSG00000148180	GSN
ENSG00000148248	SURF4
ENSG00000148291	SURF2
ENSG00000148300	REXO4
ENSG00000148303	RPL7A
ENSG00000148308	GTF3C5
ENSG00000148331	ASB6
ENSG00000148337	CIZ1
ENSG00000148341	SH3GLB2
ENSG00000148343	MIGA2
ENSG00000148426	PROSER2
ENSG00000148484	RSU1
ENSG00000148688	RPP30
ENSG00000148719	DNAJB12
ENSG00000148730	EIF4EBP2
ENSG00000148773	MKI67
ENSG00000148834	GSTO1
ENSG00000149089	APIP
ENSG00000149091	DGKZ
ENSG00000149100	EIF3M
ENSG00000149136	SSRP1
ENSG00000149257	SERPINH1
ENSG00000149273	RPS3
ENSG00000149428	HYOU1
ENSG00000149480	MTA2
ENSG00000149503	INCENP
ENSG00000149547	EI24
ENSG00000149782	PLCB3
ENSG00000149792	MRPL49
ENSG00000149806	FAU
ENSG00000149823	VPS51
ENSG00000149923	PPP4C
ENSG00000150551	LYPD1
ENSG00000150593	PDCD4
ENSG00000150687	PRSS23
ENSG00000150753	CCT5
ENSG00000150779	TIMM8B
ENSG00000150977	RILPL2
ENSG00000150990	DHX37
ENSG00000151176	PLBD2
ENSG00000151233	GXYLT1
ENSG00000151366	NDUFC2
ENSG00000151465	CDC123
ENSG00000151468	CCDC3
ENSG00000151502	VPS26B
ENSG00000151552	QDPR
ENSG00000151726	ACSL1
ENSG00000151729	SLC25A4
ENSG00000151929	BAG3
ENSG00000152082	MZT2B
ENSG00000152102	FAM168B
ENSG00000152137	HSPB8
ENSG00000152234	ATP5F1A
ENSG00000152240	HAUS1
ENSG00000152253	SPC25
ENSG00000152291	TGOLN2
ENSG00000152642	GPD1L
ENSG00000152818	UTRN
ENSG00000153029	MR1
ENSG00000153048	CARHSP1
ENSG00000153113	CAST
ENSG00000153395	LPCAT1
ENSG00000153443	UBALD1
ENSG00000153560	UBP1
ENSG00000153574	RPIA
ENSG00000153721	CNKSR3
ENSG00000153879	CEBPG
ENSG00000154144	TBRG1
ENSG00000154146	NRGN
ENSG00000154229	PRKCA
ENSG00000154277	UCHL1
ENSG00000154380	ENAH
ENSG00000154429	CCSAP
ENSG00000154518	ATP5MC3
ENSG00000154582	ELOC
ENSG00000154639	CXADR
ENSG00000154723	ATP5PF
ENSG00000154832	CXXC1
ENSG00000155115	GTF3C6
ENSG00000155252	PI4K2A
ENSG00000155254	MARVELD1
ENSG00000155368	DBI
ENSG00000155380	SLC16A1
ENSG00000155393	HEATR3
ENSG00000155463	OXA1L
ENSG00000155660	PDIA4
ENSG00000155666	KDM8
ENSG00000155850	SLC26A2
ENSG00000155959	VBP1
ENSG00000156261	CCT8
ENSG00000156411	ATP5MJ
ENSG00000156467	UQCRB
ENSG00000156471	PTDSS1
ENSG00000156482	RPL30
ENSG00000156504	PABIR2
ENSG00000156508	EEF1A1
ENSG00000156515	HK1
ENSG00000156531	PHF6
ENSG00000156599	ZDHHC5
ENSG00000156603	MED19
ENSG00000156873	PHKG2
ENSG00000156970	BUB1B
ENSG00000156973	PDE6D
ENSG00000157014	TATDN2
ENSG00000157020	SEC13
ENSG00000157191	NECAP2
ENSG00000157224	CLDN12
ENSG00000157379	DHRS1
ENSG00000157456	CCNB2
ENSG00000157593	SLC35B2
ENSG00000157637	SLC38A10
ENSG00000157851	DPYSL5
ENSG00000157916	RER1
ENSG00000157933	SKI
ENSG00000157954	WIPI2
ENSG00000157978	LDLRAP1
ENSG00000158122	PRXL2C
ENSG00000158164	TMSB15A
ENSG00000158234	FAIM
ENSG00000158373	H2BC5
ENSG00000158402	CDC25C
ENSG00000158417	EIF5B
ENSG00000158467	AHCYL2
ENSG00000158526	TSR2
ENSG00000158623	COPG2
ENSG00000158669	GPAT4
ENSG00000158710	TAGLN2
ENSG00000158769	F11R
ENSG00000158828	PINK1
ENSG00000158850	B4GALT3
ENSG00000158864	NDUFS2
ENSG00000159069	FBXW5
ENSG00000159199	ATP5MC1
ENSG00000159202	UBE2Z
ENSG00000159217	IGF2BP1
ENSG00000159228	CBR1
ENSG00000159267	HLCS
ENSG00000159335	PTMS
ENSG00000159352	PSMD4
ENSG00000159363	ATP13A2
ENSG00000159377	PSMB4
ENSG00000159423	ALDH4A1
ENSG00000159445	THEM4
ENSG00000159593	NAE1
ENSG00000159692	CTBP1
ENSG00000159720	ATP6V0D1
ENSG00000159840	ZYX
ENSG00000159873	CCDC117
ENSG00000160014	CALM3
ENSG00000160072	ATAD3B
ENSG00000160075	SSU72
ENSG00000160113	NR2F6
ENSG00000160208	RRP1B
ENSG00000160209	PDXK
ENSG00000160211	G6PD
ENSG00000160213	CSTB
ENSG00000160226	CFAP410
ENSG00000160285	LSS
ENSG00000160310	PRMT2
ENSG00000160404	TOR2A
ENSG00000160410	SHKBP1
ENSG00000160445	ZER1
ENSG00000160570	DEDD2
ENSG00000160633	SAFB
ENSG00000160679	CHTOP
ENSG00000160691	SHC1
ENSG00000160710	ADAR
ENSG00000160752	FDPS
ENSG00000160753	RUSC1
ENSG00000160767	ENTREP3
ENSG00000160783	PMF1
ENSG00000160789	LMNA
ENSG00000160813	PPP1R35
ENSG00000160877	NACC1
ENSG00000160932	LY6E
ENSG00000161013	MGAT4B
ENSG00000161016	RPL8
ENSG00000161036	LRWD1
ENSG00000161057	PSMC2
ENSG00000161091	MFSD12
ENSG00000161202	DVL3
ENSG00000161203	AP2M1
ENSG00000161542	PRPSAP1
ENSG00000161547	SRSF2
ENSG00000161618	ALDH16A1
ENSG00000161671	EMC10
ENSG00000161677	JOSD2
ENSG00000161800	RACGAP1
ENSG00000161970	RPL26
ENSG00000161980	POLR3K
ENSG00000161999	JMJD8
ENSG00000162063	CCNF
ENSG00000162065	TBC1D24
ENSG00000162066	AMDHD2
ENSG00000162076	FLYWCH2
ENSG00000162129	CLPB
ENSG00000162174	ASRGL1
ENSG00000162231	NXF1
ENSG00000162244	RPL29
ENSG00000162298	SYVN1
ENSG00000162302	RPS6KA4
ENSG00000162337	LRP5
ENSG00000162413	KLHL21
ENSG00000162430	SELENON
ENSG00000162434	JAK1
ENSG00000162441	LZIC
ENSG00000162493	PDPN
ENSG00000162517	PEF1
ENSG00000162623	TYW3
ENSG00000162627	SNX7
ENSG00000162636	EEIG2
ENSG00000162704	ARPC5
ENSG00000162734	PEA15
ENSG00000162735	PEX19
ENSG00000162736	NCSTN
ENSG00000162813	BPNT1
ENSG00000163041	H3-3A
ENSG00000163050	COQ8A
ENSG00000163110	PDLIM5
ENSG00000163132	MSX1
ENSG00000163159	VPS72
ENSG00000163170	BOLA3
ENSG00000163171	CDC42EP3
ENSG00000163191	S100A11
ENSG00000163293	NIPAL1
ENSG00000163344	PMVK
ENSG00000163382	NAXE
ENSG00000163399	ATP1A1
ENSG00000163428	LRRC58
ENSG00000163430	FSTL1
ENSG00000163444	TMEM183A
ENSG00000163466	ARPC2
ENSG00000163467	TSACC
ENSG00000163468	CCT3
ENSG00000163479	SSR2
ENSG00000163607	GTPBP8
ENSG00000163719	MTMR14
ENSG00000163754	GYG1
ENSG00000163807	KIAA1143
ENSG00000163870	TPRA1
ENSG00000163882	POLR2H
ENSG00000163902	RPN1
ENSG00000163904	SENP2
ENSG00000163930	BAP1
ENSG00000163932	PRKCD
ENSG00000163950	SLBP
ENSG00000163956	LRPAP1
ENSG00000163964	PIGX
ENSG00000164032	H2AZ1
ENSG00000164040	PGRMC2
ENSG00000164062	APEH
ENSG00000164077	MON1A
ENSG00000164104	HMGB2
ENSG00000164111	ANXA5
ENSG00000164244	PRRC1
ENSG00000164251	F2RL1
ENSG00000164292	RHOBTB3
ENSG00000164294	GPX8
ENSG00000164300	SERINC5
ENSG00000164346	NSA2
ENSG00000164347	GFM2
ENSG00000164405	UQCRQ
ENSG00000164548	TRA2A
ENSG00000164587	RPS14
ENSG00000164611	PTTG1
ENSG00000164754	RAD21
ENSG00000164778	EN2
ENSG00000164818	DNAAF5
ENSG00000164880	INTS1
ENSG00000164885	CDK5
ENSG00000164889	SLC4A2
ENSG00000164896	FASTK
ENSG00000164916	FOXK1
ENSG00000164919	COX6C
ENSG00000164924	YWHAZ
ENSG00000165006	UBAP1
ENSG00000165025	SYK
ENSG00000165060	FXN
ENSG00000165119	HNRNPK
ENSG00000165169	DYNLT3
ENSG00000165233	CARD19
ENSG00000165264	NDUFB6
ENSG00000165271	NOL6
ENSG00000165280	VCP
ENSG00000165283	STOML2
ENSG00000165389	SPTSSA
ENSG00000165410	CFL2
ENSG00000165458	INPPL1
ENSG00000165490	DDIAS
ENSG00000165502	RPL36AL
ENSG00000165526	RPUSD4
ENSG00000165556	CDX2
ENSG00000165629	ATP5F1C
ENSG00000165672	PRDX3
ENSG00000165678	GHITM
ENSG00000165688	PMPCA
ENSG00000165733	BMS1
ENSG00000165775	FUNDC2
ENSG00000165782	PIP4P1
ENSG00000165802	NSMF
ENSG00000165916	PSMC3
ENSG00000165997	ARL5B
ENSG00000166136	NDUFB8
ENSG00000166140	ZFYVE19
ENSG00000166165	CKB
ENSG00000166181	API5
ENSG00000166197	NOLC1
ENSG00000166199	ALKBH3
ENSG00000166228	PCBD1
ENSG00000166260	COX11
ENSG00000166275	BORCS7
ENSG00000166295	ANAPC16
ENSG00000166311	SMPD1
ENSG00000166313	APBB1
ENSG00000166326	TRIM44
ENSG00000166340	TPP1
ENSG00000166411	IDH3A
ENSG00000166441	RPL27A
ENSG00000166451	CENPN
ENSG00000166484	MAPK7
ENSG00000166508	MCM7
ENSG00000166562	SEC11C
ENSG00000166579	NDEL1
ENSG00000166582	CENPV
ENSG00000166595	CIAO2B
ENSG00000166681	BEX3
ENSG00000166710	B2M
ENSG00000166734	GOLM2
ENSG00000166794	PPIB
ENSG00000166797	CIAO2A
ENSG00000166803	PCLAF
ENSG00000166848	TERF2IP
ENSG00000166851	PLK1
ENSG00000166900	STX3
ENSG00000166902	MRPL16
ENSG00000166908	PIP4K2C
ENSG00000166974	MAPRE2
ENSG00000166986	MARS1
ENSG00000167004	PDIA3
ENSG00000167065	DUSP18
ENSG00000167085	PHB1
ENSG00000167106	EEIG1
ENSG00000167112	TRUB2
ENSG00000167114	SLC27A4
ENSG00000167118	URM1
ENSG00000167130	DOLPP1
ENSG00000167272	POP5
ENSG00000167291	TBC1D16
ENSG00000167315	ACAA2
ENSG00000167325	RRM1
ENSG00000167460	TPM4
ENSG00000167461	RAB8A
ENSG00000167468	GPX4
ENSG00000167491	GATAD2A
ENSG00000167508	MVD
ENSG00000167515	TRAPPC2L
ENSG00000167526	RPL13
ENSG00000167543	TP53I13
ENSG00000167548	KMT2D
ENSG00000167552	TUBA1A
ENSG00000167553	TUBA1C
ENSG00000167615	LENG8
ENSG00000167642	SPINT2
ENSG00000167645	YIF1B
ENSG00000167646	DNAAF3
ENSG00000167685	ZNF444
