Ensembl	Gene
ENSG00000106333	PCOLCE
ENSG00000106823	ECM2
ENSG00000107201	RIGI
ENSG00000107242	PIP5K1B
ENSG00000107611	CUBN
ENSG00000107742	SPOCK2
ENSG00000107864	CPEB3
ENSG00000107897	ACBD5
ENSG00000107951	MTPAP
ENSG00000108242	CYP2C18
ENSG00000108379	WNT3
ENSG00000108506	INTS2
ENSG00000108515	ENO3
ENSG00000108924	HLF
ENSG00000108932	SLC16A6
ENSG00000108950	FAM20A
ENSG00000108960	MMD
ENSG00000109063	MYH3
ENSG00000109163	GNRHR
ENSG00000109323	MANBA
ENSG00000109819	PPARGC1A
ENSG00000109911	ELP4
ENSG00000109927	TECTA
ENSG00000110031	LPXN
ENSG00000110169	HPX
ENSG00000110427	KIAA1549L
ENSG00000110693	SOX6
ENSG00000111181	SLC6A12
ENSG00000111254	AKAP3
ENSG00000111266	DUSP16
ENSG00000111339	ART4
ENSG00000111341	MGP
ENSG00000111801	BTN3A3
ENSG00000111816	FRK
ENSG00000111834	RSPH4A
ENSG00000111846	GCNT2
ENSG00000111850	SMIM8
ENSG00000112116	IL17F
ENSG00000112246	SIM1
ENSG00000112769	LAMA4
ENSG00000113083	LOX
ENSG00000113248	PCDHB15
ENSG00000113369	ARRDC3
ENSG00000113389	NPR3
ENSG00000113448	PDE4D
ENSG00000114115	RBP1
ENSG00000114204	SERPINI2
ENSG00000114455	HHLA2
ENSG00000114541	FRMD4B
ENSG00000114638	UPK1B
ENSG00000115137	DNAJC27
ENSG00000115423	DNAH6
ENSG00000115474	KCNJ13
ENSG00000115556	PLCD4
ENSG00000115850	LCT
ENSG00000116299	ELAPOR1
ENSG00000116703	PDC
ENSG00000116748	AMPD1
ENSG00000117000	RLF
ENSG00000117069	ST6GALNAC5
ENSG00000117281	CD160
ENSG00000117586	TNFSF4
ENSG00000117601	SERPINC1
ENSG00000117707	PROX1
ENSG00000118257	NRP2
ENSG00000118298	CA14
ENSG00000118307	DNAI7
ENSG00000118407	FILIP1
ENSG00000118412	CASP8AP2
ENSG00000118513	MYB
ENSG00000118514	ALDH8A1
ENSG00000118520	ARG1
ENSG00000118557	PMFBP1
ENSG00000118690	ARMC2
ENSG00000118849	RARRES1
ENSG00000118976	OTUD4P1
ENSG00000118997	DNAH7
ENSG00000119681	LTBP2
ENSG00000119684	MLH3
ENSG00000119698	PPP4R4
ENSG00000119703	ZC2HC1C
ENSG00000119715	ESRRB
ENSG00000119950	MXI1
ENSG00000119973	PRLHR
ENSG00000120093	HOXB3
ENSG00000120156	TEK
ENSG00000120215	MLANA
ENSG00000120256	LRP11
ENSG00000120262	CCDC170
ENSG00000120324	PCDHB10
ENSG00000120327	PCDHB14
ENSG00000120328	PCDHB12
ENSG00000120329	SLC25A2
ENSG00000120555	SEPTIN7P9
ENSG00000120729	MYOT
ENSG00000121361	KCNJ8
ENSG00000121380	BCL2L14
ENSG00000121417	ZNF211
ENSG00000121577	POPDC2
ENSG00000121764	HCRTR1
ENSG00000121903	ZSCAN20
ENSG00000121905	HPCA
ENSG00000122432	SPATA1
ENSG00000122477	LRRC39
ENSG00000122592	HOXA7
ENSG00000122728	TAF1L
ENSG00000122733	PHF24
ENSG00000122884	P4HA1
ENSG00000123901	GPR83
ENSG00000124429	POF1B
ENSG00000124469	CEACAM8
ENSG00000124596	OARD1
ENSG00000124701	APOBEC2
ENSG00000124766	SOX4
ENSG00000125046	SSUH2
ENSG00000125430	HS3ST3B1
ENSG00000125772	GPCPD1
ENSG00000126856	PRDM7
ENSG00000127074	RGS13
ENSG00000127081	ZNF484
ENSG00000127362	TAS2R3
ENSG00000127364	TAS2R4
ENSG00000127366	TAS2R5
ENSG00000128045	RASL11B
ENSG00000128268	MGAT3
ENSG00000128482	RNF112
ENSG00000128573	FOXP2
ENSG00000128606	LRRC17
ENSG00000128617	OPN1SW
ENSG00000129167	TPH1
ENSG00000130023	ERMARD
ENSG00000130035	GALNT8
ENSG00000130038	CRACR2A
ENSG00000130589	HELZ2
ENSG00000130649	CYP2E1
ENSG00000130783	CCDC62
ENSG00000130943	PKDREJ
ENSG00000131096	PYY
ENSG00000131471	AOC3
ENSG00000131845	ZNF304
ENSG00000131951	LRRC9
ENSG00000132141	CCT6B
ENSG00000132535	DLG4
ENSG00000132681	ATP1A4
ENSG00000132718	SYT11
ENSG00000133466	C1QTNF6
ENSG00000133962	CATSPERB
ENSG00000134007	ADAM20
ENSG00000134215	VAV3
ENSG00000134258	VTCN1
ENSG00000134489	HRH4
ENSG00000134532	SOX5
ENSG00000134545	KLRC1
ENSG00000134548	SPX
ENSG00000134955	SLC37A2
ENSG00000134962	KLB
ENSG00000135049	AGTPBP1
ENSG00000135248	GARIN1B
ENSG00000135298	ADGRB3
ENSG00000135318	NT5E
ENSG00000135324	MRAP2
ENSG00000135338	LCA5
ENSG00000135362	PRR5L
ENSG00000135407	AVIL
ENSG00000135537	AFG1L
ENSG00000135540	NHSL1
ENSG00000135678	CPM
ENSG00000135913	USP37
ENSG00000136110	CNMD
ENSG00000136383	ALPK3
ENSG00000136866	ZFP37
ENSG00000136881	BAAT
ENSG00000136939	OR1L4
ENSG00000137103	TMEM8B
ENSG00000137218	FRS3
ENSG00000137270	GCM1
ENSG00000137460	FHDC1
ENSG00000137501	SYTL2
ENSG00000137502	RAB30
ENSG00000137727	ARHGAP20
ENSG00000137821	LRRC49
ENSG00000137872	SEMA6D
ENSG00000137960	GIPC2
ENSG00000138109	CYP2C9
ENSG00000138161	CUZD1
ENSG00000138193	PLCE1
ENSG00000138308	PLA2G12B
ENSG00000138380	CARF
ENSG00000138468	SENP7
ENSG00000138653	NDST4
ENSG00000138658	ZGRF1
ENSG00000138823	MTTP
ENSG00000139160	ETFBKMT
ENSG00000139292	LGR5
ENSG00000139344	AMDHD1
ENSG00000139597	N4BP2L1
ENSG00000139780	METTL21C
ENSG00000139985	ADAM21
ENSG00000140009	ESR2
ENSG00000140057	AK7
ENSG00000140092	FBLN5
ENSG00000140471	LINS1
ENSG00000140795	MYLK3
ENSG00000140839	CLEC18B
ENSG00000141431	ASXL3
ENSG00000141434	MEP1B
ENSG00000141642	ELAC1
ENSG00000141655	TNFRSF11A
ENSG00000142511	GPR32
ENSG00000142961	MOB3C
ENSG00000143107	FNDC7
ENSG00000143125	PROK1
ENSG00000143178	TBX19
ENSG00000143199	ADCY10
ENSG00000143333	RGS16
ENSG00000143369	ECM1
ENSG00000143379	SETDB1
ENSG00000143452	HORMAD1
ENSG00000143469	SYT14
ENSG00000143507	DUSP10
ENSG00000143512	HHIPL2
ENSG00000143632	ACTA1
ENSG00000143850	PLEKHA6
ENSG00000143995	MEIS1
ENSG00000144410	CPO
ENSG00000144426	NBEAL1
ENSG00000144668	ITGA9
ENSG00000144802	NFKBIZ
ENSG00000144810	COL8A1
ENSG00000144821	MYH15
ENSG00000144935	TRPC1
ENSG00000145287	PLAC8
ENSG00000145700	ANKRD31
ENSG00000145779	TNFAIP8
ENSG00000145888	GLRA1
ENSG00000146021	KLHL3
ENSG00000146411	SLC2A12
ENSG00000146426	TIAM2
ENSG00000146453	PNLDC1
ENSG00000146592	CREB5
ENSG00000146809	ASB15
ENSG00000146856	AGBL3
ENSG00000147117	ZNF157
ENSG00000147246	HTR2C
ENSG00000147481	SNTG1
ENSG00000147576	ADHFE1
ENSG00000147606	SLC26A7
ENSG00000147789	ZNF7
ENSG00000147852	VLDLR
ENSG00000147873	IFNA5
ENSG00000148225	WDR31
ENSG00000148483	TMEM236
ENSG00000148584	A1CF
ENSG00000148690	FRA10AC1
ENSG00000149201	CCDC81
ENSG00000149243	KLHL35
ENSG00000149474	KAT14
ENSG00000149548	CCDC15
ENSG00000149591	TAGLN
ENSG00000150051	MKX
ENSG00000150337	FCGR1A
ENSG00000150637	CD226
ENSG00000151116	UEVLD
ENSG00000151360	ALLC
ENSG00000151364	KCTD14
ENSG00000151475	SLC25A31
ENSG00000151612	ZNF827
ENSG00000151623	NR3C2
ENSG00000151655	ITIH2
ENSG00000151687	ANKAR
ENSG00000151812	SLC35F4
ENSG00000151876	FBXO4
ENSG00000152578	GRIA4
ENSG00000152672	CLEC4F
ENSG00000152763	DNAI4
ENSG00000153495	TEX29
ENSG00000153802	TMPRSS11D
ENSG00000153832	FBXO36
ENSG00000153993	SEMA3D
ENSG00000154007	ASB17
ENSG00000154153	RETREG1
ENSG00000154162	CDH12
ENSG00000154175	ABI3BP
ENSG00000154263	ABCA10
ENSG00000154358	OBSCN
ENSG00000154479	CFAP210
ENSG00000154485	MMP21
ENSG00000154608	CEP170P1
ENSG00000155026	RSPH10B
ENSG00000155085	AK9
ENSG00000155099	PIP4P2
ENSG00000155530	LRGUK
ENSG00000155749	FLACC1
ENSG00000155754	C2CD6
ENSG00000155761	SPAG17
ENSG00000155962	CLIC2
ENSG00000156011	PSD3
ENSG00000156042	CFAP70
ENSG00000156140	ADAMTS3
ENSG00000156253	RWDD2B
ENSG00000156500	PABIR3
ENSG00000157368	IL34
ENSG00000157429	ZNF19
ENSG00000157653	C9orf43
ENSG00000157856	DRC1
ENSG00000157890	MEGF11
ENSG00000158023	CFAP251
ENSG00000158104	HPD
ENSG00000158113	LRRC43
ENSG00000158296	SLC13A3
ENSG00000158516	CPA2
ENSG00000158555	GDPD5
ENSG00000159261	CLDN14
ENSG00000159289	GOLGA6A
ENSG00000159915	ZNF233
ENSG00000160097	FNDC5
ENSG00000160868	CYP3A4
ENSG00000161040	FBXL13
ENSG00000161180	CCDC116
ENSG00000161405	IKZF3
ENSG00000162594	IL23R
ENSG00000162614	NEXN
ENSG00000162624	LHX8
ENSG00000162643	DNAI3
ENSG00000162669	HFM1
ENSG00000162687	KCNT2
ENSG00000162745	OLFML2B
ENSG00000162753	SLC9C2
ENSG00000162804	SNED1
ENSG00000162814	SPATA17
ENSG00000162913	OBSCN-AS1
ENSG00000162927	PUS10
ENSG00000162944	RFTN2
ENSG00000162946	DISC1
ENSG00000162994	CLHC1
ENSG00000162998	FRZB
ENSG00000163032	VSNL1
ENSG00000163116	STPG2
ENSG00000163531	NFASC
ENSG00000163576	EFHB
ENSG00000163606	CD200R1
ENSG00000163631	ALB
ENSG00000163661	PTX3
ENSG00000163701	IL17RE
ENSG00000163814	CDCP1
ENSG00000163877	SNIP1
ENSG00000164010	ERMAP
ENSG00000164037	SLC9B1
ENSG00000164056	SPRY1
ENSG00000164061	BSN
ENSG00000164089	ETNPPL
ENSG00000164185	ZNF474
ENSG00000164188	RANBP3L
ENSG00000164241	C5orf63
ENSG00000164296	TIGD6
ENSG00000164304	CAGE1
ENSG00000164306	PRIMPOL
ENSG00000164406	LEAP2
ENSG00000164463	CREBRF
ENSG00000164556	FAM183BP
ENSG00000164603	BMT2
ENSG00000164675	IQUB
ENSG00000164707	SLC13A4
ENSG00000164932	CTHRC1
ENSG00000164972	C9orf24
ENSG00000165076	PRSS37
ENSG00000165120	SSMEM1
ENSG00000165181	SHOC1
ENSG00000165204	OR1K1
ENSG00000165244	ZNF367
ENSG00000165376	CLDN2
ENSG00000165409	TSHR
ENSG00000165495	PKNOX2
ENSG00000165555	NOXRED1
ENSG00000165623	UCMA
ENSG00000165695	AK8
ENSG00000165805	C12orf50
ENSG00000165841	CYP2C19
ENSG00000165935	SMCO2
ENSG00000165972	CCDC38
ENSG00000165995	CACNB2
ENSG00000166153	DEPDC4
ENSG00000166250	CLMP
ENSG00000166262	FAM227B
ENSG00000166268	MYRFL
ENSG00000166278	C2
ENSG00000166292	TMEM100
ENSG00000166323	C11orf65
ENSG00000166436	TRIM66
ENSG00000166444	DENND2B
ENSG00000166450	PRTG
ENSG00000166704	ZNF606
ENSG00000166800	LDHAL6A
ENSG00000166825	ANPEP
ENSG00000166863	TAC3
ENSG00000166866	MYO1A
ENSG00000167117	ANKRD40CL
ENSG00000167195	GOLGA6C
ENSG00000167377	ZNF23
ENSG00000167654	ATCAY
ENSG00000167766	ZNF83
ENSG00000167904	TMEM68
ENSG00000167984	NLRC3
ENSG00000168026	TTC21A
ENSG00000168032	ENTPD3
ENSG00000168070	MAJIN
ENSG00000168152	THAP9
ENSG00000168310	IRF2
ENSG00000168314	MOBP
ENSG00000168477	TNXB
ENSG00000168491	CCDC110
ENSG00000168702	LRP1B
ENSG00000168703	WFDC12
ENSG00000168772	CXXC4
ENSG00000168779	SHOX2
ENSG00000168878	SFTPB
ENSG00000168916	ZNF608
ENSG00000168955	TM4SF20
ENSG00000169064	ZBBX
ENSG00000169385	RNASE2
ENSG00000169403	PTAFR
ENSG00000169621	APLF
ENSG00000169752	NRG4
ENSG00000169989	TIGD4
ENSG00000170175	CHRNB1
ENSG00000170209	ANKK1
ENSG00000170222	ADPRM
ENSG00000170236	USP50
ENSG00000170381	SEMA3E
ENSG00000170631	ZNF16
ENSG00000170959	DCDC1
ENSG00000171053	PATE1
ENSG00000171174	RBKS
ENSG00000171291	ZNF439
ENSG00000171459	OR1L6
ENSG00000171522	PTGER4
ENSG00000171561	OR2AT4
ENSG00000171604	CXXC5
ENSG00000171812	COL8A2
ENSG00000171877	FRMD5
ENSG00000171931	FBXW10
ENSG00000171956	FOXB1
ENSG00000171970	ZNF57
ENSG00000172159	FRMD3
ENSG00000172183	ISG20
ENSG00000172296	SPTLC3
ENSG00000172361	CFAP53
ENSG00000172382	PRSS27
ENSG00000172399	MYOZ2
ENSG00000172425	TTC36
ENSG00000172476	RAB40A
ENSG00000172650	AGAP5
ENSG00000172717	GARIN2
ENSG00000172748	ZNF596
ENSG00000173114	LRRN3
ENSG00000173157	ADAMTS20
ENSG00000173261	PLAC8L1
ENSG00000173376	NDNF
ENSG00000173401	GLIPR1L1
ENSG00000173451	THAP2
ENSG00000173825	TIGD3
ENSG00000174206	KICS2
ENSG00000174307	PHLDA3
ENSG00000174453	VWC2L
ENSG00000174529	TMEM81
ENSG00000174672	BRSK2
ENSG00000174776	WDR49
ENSG00000174792	ODAPH
ENSG00000174844	DNAH12
ENSG00000174930	VN2R1P
ENSG00000175003	SLC22A1
ENSG00000175121	WFDC5
ENSG00000175356	SCUBE2
ENSG00000175395	ZNF25
ENSG00000175485	OR52W1
ENSG00000175564	UCP3
ENSG00000175575	PAAF1
ENSG00000175691	ZNF77
ENSG00000175697	GPR156
ENSG00000176024	ZNF613
ENSG00000176054	RPL23P2
ENSG00000176124	DLEU1
ENSG00000176198	OR11H4
ENSG00000176204	LRRTM4
ENSG00000176222	ZNF404
ENSG00000176438	SYNE3
ENSG00000176601	MAP3K19
ENSG00000176749	CDK5R1
ENSG00000176809	LRRC37A3
ENSG00000176896	TCEANC
ENSG00000176933	TOB2P1
ENSG00000176971	FIBIN
ENSG00000177025	C19orf18
ENSG00000177200	CHD9
ENSG00000177359	ENSG00000177359
ENSG00000177483	RBM44
ENSG00000177599	ZNF491
ENSG00000177640	CASC2
ENSG00000177721	ANXA2R
ENSG00000177807	KCNJ10
ENSG00000177873	ZNF619
ENSG00000178033	CALHM5
ENSG00000178055	PRSS42P
ENSG00000178229	ZNF543
ENSG00000178386	ZNF223
ENSG00000178568	ERBB4
ENSG00000178636	MRPL42P1
ENSG00000178662	CSRNP3
ENSG00000178977	LINC00324
ENSG00000179008	C14orf39
ENSG00000179397	CATSPERE
ENSG00000179476	C14orf28
ENSG00000179520	SLC17A8
ENSG00000179532	DNHD1
ENSG00000179841	AKAP5
ENSG00000179846	NKPD1
ENSG00000180096	SEPTIN1
ENSG00000180336	MEIOC
ENSG00000180353	HCLS1
ENSG00000180481	GLIPR1L2
ENSG00000180574	EIF2S3B
ENSG00000180881	CAPS2
ENSG00000180884	ZNF792
ENSG00000180938	ZNF572
ENSG00000181016	LSMEM1
ENSG00000181481	RNF135
ENSG00000181722	ZBTB20
ENSG00000181798	LINC00471
ENSG00000182183	SHISAL2A
ENSG00000182185	RAD51B
ENSG00000182308	DCAF4L1
ENSG00000182326	C1S
ENSG00000182329	KIAA2012
ENSG00000182389	CACNB4
ENSG00000182477	OR2B8P
ENSG00000182568	SATB1
ENSG00000182648	RNF32-DT
ENSG00000182742	HOXB4
ENSG00000182923	CEP63
ENSG00000182993	C12orf60
ENSG00000183023	SLC8A1
ENSG00000183091	NEB
ENSG00000183150	GPR19
ENSG00000183423	LRIT3
ENSG00000183604	SMG1P5
ENSG00000183621	ZNF438
ENSG00000183773	AIFM3
ENSG00000183911	RPL21P132
ENSG00000184083	FAM120C
ENSG00000184144	CNTN2
ENSG00000184276	DEFB108B
ENSG00000184381	PLA2G6
ENSG00000184384	MAML2
ENSG00000184434	LRRC19
ENSG00000184445	KNTC1
ENSG00000184564	SLITRK6
ENSG00000184619	KRBA2
ENSG00000185002	RFX6
ENSG00000185008	ROBO2
ENSG00000185261	KIAA0825
ENSG00000185267	CDNF
ENSG00000185278	ZBTB37
ENSG00000185433	LINC00158
ENSG00000185482	STAC3
ENSG00000185621	LMLN
ENSG00000185860	CCDC190
ENSG00000185880	TRIM69
ENSG00000185920	PTCH1
ENSG00000186019	ZNF225-AS1
ENSG00000186026	ZNF284
ENSG00000186047	DLEU7
ENSG00000186130	ZBTB6
ENSG00000186150	UBL4B
ENSG00000186231	KLHL32
ENSG00000186265	BTLA
ENSG00000186280	KDM4D
ENSG00000186300	ZNF555
ENSG00000186409	CCDC30
ENSG00000186446	ZNF501
ENSG00000186452	TMPRSS12
ENSG00000186496	ZNF396
ENSG00000186714	CCDC73
ENSG00000186854	TRABD2A
ENSG00000186952	TMEM232
ENSG00000186973	CFAP144
ENSG00000186976	EFCAB6
ENSG00000187372	PCDHB13
ENSG00000187416	LHFPL3
ENSG00000187513	GJA4
ENSG00000187626	ZKSCAN4
ENSG00000187715	KBTBD12
ENSG00000187775	DNAH17
ENSG00000187806	TMEM202
ENSG00000187824	TMEM220
ENSG00000187889	FYB2
ENSG00000187987	ZSCAN23
ENSG00000188133	TMEM215
ENSG00000188177	ZC3H6
ENSG00000188467	SLC24A5
ENSG00000188517	COL25A1
ENSG00000188596	CFAP54
ENSG00000188738	FSIP2
ENSG00000188771	PLET1
ENSG00000188800	TMCO2
ENSG00000188856	RPSAP47
ENSG00000188897	ENSG00000188897
ENSG00000188910	GJB3
ENSG00000188921	HACD4
ENSG00000188981	MSANTD1
ENSG00000188993	LRRC66
ENSG00000189001	SBSN
ENSG00000189014	SHLD2P3
ENSG00000189030	VHLL
ENSG00000189042	ZNF567
ENSG00000189045	ANKDD1B
ENSG00000189164	ZNF527
ENSG00000189195	BTBD8
ENSG00000189280	GJB5
ENSG00000189298	ZKSCAN3
ENSG00000189320	FAM180A
ENSG00000189377	CXCL17
ENSG00000196081	ZNF724
ENSG00000196110	ZNF699
ENSG00000196143	OR11H13P
ENSG00000196152	ZNF79
ENSG00000196214	ZNF766
ENSG00000196220	SRGAP3
ENSG00000196263	ZNF471
ENSG00000196289	BECN2
ENSG00000196357	ZNF565
ENSG00000196378	ZNF34
ENSG00000196421	C20orf204
ENSG00000196482	ESRRG
ENSG00000196503	ARL9
ENSG00000196542	SPTSSB
ENSG00000196653	ZNF502
ENSG00000196668	LINC00173
ENSG00000196724	ZNF418
ENSG00000196757	ZNF700
ENSG00000196793	ZNF239
ENSG00000196917	HCAR1
ENSG00000196935	SRGAP1
ENSG00000196946	ZNF705A
ENSG00000196967	ZNF585A
ENSG00000197013	ZNF429
ENSG00000197044	ZNF441
ENSG00000197054	ZNF763
ENSG00000197168	NEK5
ENSG00000197191	CYSRT1
ENSG00000197332	ENSG00000197332
ENSG00000197416	FABP12
ENSG00000197444	OGDHL
ENSG00000197479	PCDHB11
ENSG00000197566	ZNF624
ENSG00000197584	KCNMB2
ENSG00000197585	ENSG00000197585
ENSG00000197647	ZNF433
ENSG00000197653	DNAH10
ENSG00000197705	KLHL14
ENSG00000197748	CFAP43
ENSG00000197757	HOXC6
ENSG00000197857	ZNF44
ENSG00000197863	ZNF790
ENSG00000197889	MEIG1
ENSG00000197959	DNM3
ENSG00000197980	LEKR1
ENSG00000198028	ZNF560
ENSG00000198075	SULT1C4
ENSG00000198153	ZNF849P
ENSG00000198169	ZNF251
ENSG00000198298	ZNF485
ENSG00000198342	ZNF442
ENSG00000198416	ZNF658B
ENSG00000198551	ZNF627
ENSG00000198580	ENSG00000198580
ENSG00000198734	F5
ENSG00000198774	RASSF9
ENSG00000198785	GRIN3A
ENSG00000198841	KTI12
ENSG00000198879	SFMBT2
ENSG00000198939	ZFP2
ENSG00000198963	RORB
ENSG00000199196	ENSG00000199196
ENSG00000199201	Y_RNA
ENSG00000199855	RNU6-490P
ENSG00000199906	RNU5B-2P
ENSG00000200156	RNU5B-1
ENSG00000200169	RNU5D-1
ENSG00000201102	Y_RNA
ENSG00000201121	RNY1P12
ENSG00000201545	RNU4-85P
ENSG00000201604	RNU6-740P
ENSG00000201659	RNU12-2P
ENSG00000202279	Y_RNA
ENSG00000202337	RNU6-8
ENSG00000202417	Y_RNA
ENSG00000202429	RNU4-48P
ENSG00000203363	GPR160P1
ENSG00000203585	LINC02408
ENSG00000203721	LINC00862
ENSG00000203734	ECT2L
ENSG00000203795	FAM24A
ENSG00000203799	CCDC162P
ENSG00000203801	LINC00222
ENSG00000204248	COL11A2
ENSG00000204257	HLA-DMA
ENSG00000204406	MBD5
ENSG00000204428	LY6G5C
ENSG00000204524	ZNF805
ENSG00000204671	IL31
ENSG00000204815	ODAD4
ENSG00000204909	SPINK9
ENSG00000204947	ZNF425
ENSG00000205084	TMEM231
ENSG00000205129	C4orf47
ENSG00000205359	SLCO6A1
ENSG00000205464	ATP6AP1L
ENSG00000205644	ENSG00000205644
ENSG00000205771	CATSPER2P1
ENSG00000205853	RFPL3S
ENSG00000205929	C21orf62
ENSG00000205930	C21orf62-AS1
ENSG00000205959	ENSG00000205959
ENSG00000206077	ZDHHC11B
ENSG00000206384	COL6A6
ENSG00000206583	RNU6-1292P
ENSG00000206585	RNVU1-7
ENSG00000206617	RNY1P5
ENSG00000206710	RNU6-147P
ENSG00000206815	RNU6-483P
ENSG00000206899	RNU6-36P
ENSG00000206918	RNU6-1181P
ENSG00000206932	RNU6-4P
ENSG00000207041	RNU6-3P
ENSG00000207293	Y_RNA
ENSG00000207357	RNU6-2
ENSG00000207417	Y_RNA
ENSG00000207448	RNU6-520P
ENSG00000207507	RNU6-9
ENSG00000207696	MIR659
ENSG00000207983	MIR613
ENSG00000210841	RNU6ATAC26P
ENSG00000211448	DIO2
ENSG00000212259	RNU6-308P
ENSG00000212302	ENSG00000212302
ENSG00000212338	ENSG00000212338
ENSG00000212464	SNORA12
ENSG00000212581	U8
ENSG00000212624	ENSG00000212624
ENSG00000212989	ENSG00000212989
ENSG00000213045	ENSG00000213045
ENSG00000213062	ENSG00000213062
ENSG00000213069	KRT8P40
ENSG00000213117	MEMO1P2
ENSG00000213122	RPL23AP46
ENSG00000213123	DYNLT2B
ENSG00000213139	CRYGS
ENSG00000213148	JPT1P1
ENSG00000213234	ST13P10
ENSG00000213561	ENSG00000213561
ENSG00000213640	EEF1DP4
ENSG00000213706	RHOG2P
ENSG00000213714	FAM209B
ENSG00000213735	ANAPC10P1
ENSG00000213781	PSMC1P2
ENSG00000213904	LIPE-AS1
ENSG00000213917	RPL5P8
ENSG00000213928	IRF9
ENSG00000213943	KRT18P17
ENSG00000213963	ENSG00000213963
ENSG00000214067	ENSG00000214067
ENSG00000214102	WEE2
ENSG00000214198	TTC41P
ENSG00000214216	IQCJ
ENSG00000214286	PDCL3P3
ENSG00000214376	VSTM5
ENSG00000214460	TPT1P6
ENSG00000214534	ZNF705EP
ENSG00000214546	ENSG00000214546
ENSG00000214694	ARHGEF33
ENSG00000214700	C12orf71
ENSG00000214725	CDIPTOSP
ENSG00000214756	CSKMT
ENSG00000214776	ENSG00000214776
ENSG00000214900	LINC01588
ENSG00000214944	ARHGEF28
ENSG00000215068	ANXA2R-AS1
ENSG00000215120	SOCS6P1
ENSG00000215186	GOLGA6B
ENSG00000215386	MIR99AHG
ENSG00000215482	CALM2P3
ENSG00000215529	EFCAB8
ENSG00000215595	C20orf202
ENSG00000215812	ZNF847P
ENSG00000216480	RPL21P69
ENSG00000216657	GLRX3P2
ENSG00000216990	HSPD1P10
ENSG00000217315	OR2W2P
ENSG00000217325	PRELID1P1
ENSG00000217404	RPS4XP9
ENSG00000217416	ISCA1P1
ENSG00000218016	ZKSCAN8P2
ENSG00000218027	ENSG00000218027
ENSG00000218363	SLC25A20P1
ENSG00000218632	RPL7P28
ENSG00000218698	ST13P16
ENSG00000218772	FAM8A6P
ENSG00000218793	ENSG00000218793
ENSG00000219085	NPM1P37
ENSG00000219133	RPL21P19
ENSG00000219262	OR2E1P
ENSG00000219294	PIP5K1P1
ENSG00000219553	ENSG00000219553
ENSG00000219565	ZPR1P1
ENSG00000219700	PTCHD3P3
ENSG00000220522	ENSG00000220522
ENSG00000220557	HMGB1P13
ENSG00000220581	VN1R12P
